row  Chick  Diet  weight
123     11     1     112
124     11     1     139
125     11     1     168
126     11     1     177
127     11     1     182
128     11     1     184
129     11     1     181
130     11     1     175
131     12     1      41
132     12     1      49
133     12     1      56
134     12     1      62
135     12     1      72
136     12     1      88
137     12     1     119
138     12     1     135
139     12     1     162
140     12     1     185
141     12     1     195
142     12     1     205
143     13     1      41
144     13     1      48
145     13     1      53
146     13     1      60
147     13     1      65
148     13     1      67
149     13     1      71
150     13     1      70
151     13     1      71
152     13     1      81
153     13     1      91
154     13     1      96
155     14     1      41
156     14     1      49
157     14     1      62
158     14     1      79
159     14     1     101
160     14     1     128
161     14     1     164
162     14     1     192
163     14     1     227
164     14     1     248
165     14     1     259
166     14     1     266
167     15     1      41
168     15     1      49
169     15     1      56
170     15     1      64
171     15     1      68
172     15     1      68
173     15     1      67
174     15     1      68
175     16     1      41
176     16     1      45
177     16     1      49
178     16     1      51
179     16     1      57
180     16     1      51
181     16     1      54
182     17     1      42
183     17     1      51
184     17     1      61
185     17     1      72
186     17     1      83
187     17     1      89
188     17     1      98
189     17     1     103
190     17     1     113
191     17     1     123
192     17     1     133
193     17     1     142
194     18     1      39
195     18     1      35
196     19     1      43
197     19     1      48
198     19     1      55
199     19     1      62
200     19     1      65
201     19     1      71
202     19     1      82
203     19     1      88
204     19     1     106
205     19     1     120
206     19     1     144
207     19     1     157
208     20     1      41
209     20     1      47
210     20     1      54
211     20     1      58
212     20     1      65
213     20     1      73
214     20     1      77
215     20     1      89
216     20     1      98
217     20     1     107
218     20     1     115
219     20     1     117
220     21     2      40
221     21     2      50
222     21     2      62
223     21     2      86
224     21     2     125
225     21     2     163
226     21     2     217
227     21     2     240
228     21     2     275
229     21     2     307
230     21     2     318
231     21     2     331
232     22     2      41
233     22     2      55
234     22     2      64
235     22     2      77
236     22     2      90
237     22     2      95
238     22     2     108
239     22     2     111
240     22     2     131
241     22     2     148
242     22     2     164
243     22     2     167
244     23     2      43
245     23     2      52
246     23     2      61
247     23     2      73
248     23     2      90
249     23     2     103
250     23     2     127
251     23     2     135
252     23     2     145
253     23     2     163
254     23     2     170
255     23     2     175
256     24     2      42
257     24     2      52
258     24     2      58
259     24     2      74
260     24     2      66
261     24     2      68
262     24     2      70
263     24     2      71
264     24     2      72
265     24     2      72
266     24     2      76
267     24     2      74
268     25     2      40
269     25     2      49
270     25     2      62
271     25     2      78
272     25     2     102
273     25     2     124
274     25     2     146
275     25     2     164
276     25     2     197
277     25     2     231
278     25     2     259
279     25     2     265
280     26     2      42
281     26     2      48
282     26     2      57
283     26     2      74
284     26     2      93
285     26     2     114
286     26     2     136
287     26     2     147
288     26     2     169
289     26     2     205
290     26     2     236
291     26     2     251
292     27     2      39
293     27     2      46
294     27     2      58
295     27     2      73
296     27     2      87
297     27     2     100
298     27     2     115
299     27     2     123
300     27     2     144
301     27     2     163
302     27     2     185
303     27     2     192
304     28     2      39
305     28     2      46
306     28     2      58
307     28     2      73
308     28     2      92
309     28     2     114
310     28     2     145
311     28     2     156
312     28     2     184
313     28     2     207
314     28     2     212
315     28     2     233
316     29     2      39
317     29     2      48
318     29     2      59
319     29     2      74
320     29     2      87
321     29     2     106
322     29     2     134
323     29     2     150
324     29     2     187
325     29     2     230
326     29     2     279
327     29     2     309
328     30     2      42
329     30     2      48
330     30     2      59
331     30     2      72
332     30     2      85
333     30     2      98
334     30     2     115
335     30     2     122
336     30     2     143
337     30     2     151
338     30     2     157
339     30     2     150
340     31     3      42
341     31     3      53
342     31     3      62
343     31     3      73
344     31     3      85
345     31     3     102
346     31     3     123
347     31     3     138
348     31     3     170
349     31     3     204
350     31     3     235
351     31     3     256
352     32     3      41
353     32     3      49
354     32     3      65
355     32     3      82
356     32     3     107
357     32     3     129
358     32     3     159
359     32     3     179
360     32     3     221
361     32     3     263
362     32     3     291
363     32     3     305
364     33     3      39
365     33     3      50
366     33     3      63
367     33     3      77
368     33     3      96
369     33     3     111
370     33     3     137
371     33     3     144
372     33     3     151
373     33     3     146
374     33     3     156
375     33     3     147
376     34     3      41
377     34     3      49
378     34     3      63
379     34     3      85
380     34     3     107
381     34     3     134
382     34     3     164
383     34     3     186
384     34     3     235
385     34     3     294
386     34     3     327
387     34     3     341
388     35     3      41
389     35     3      53
390     35     3      64
391     35     3      87
392     35     3     123
393     35     3     158
394     35     3     201
395     35     3     238
396     35     3     287
397     35     3     332
398     35     3     361
399     35     3     373
400     36     3      39
401     36     3      48
402     36     3      61
403     36     3      76
404     36     3      98
405     36     3     116
406     36     3     145
407     36     3     166
408     36     3     198
409     36     3     227
410     36     3     225
411     36     3     220
412     37     3      41
413     37     3      48
414     37     3      56
415     37     3      68
416     37     3      80
417     37     3      83
418     37     3     103
419     37     3     112
420     37     3     135
421     37     3     157
422     37     3     169
423     37     3     178
424     38     3      41
425     38     3      49
426     38     3      61
427     38     3      74
428     38     3      98
429     38     3     109
430     38     3     128
431     38     3     154
432     38     3     192
433     38     3     232
434     38     3     280
435     38     3     290
436     39     3      42
437     39     3      50
438     39     3      61
439     39     3      78
440     39     3      89
441     39     3     109
442     39     3     130
443     39     3     146
444     39     3     170
445     39     3     214
446     39     3     250
447     39     3     272
448     40     3      41
449     40     3      55
450     40     3      66
451     40     3      79
452     40     3     101
453     40     3     120
454     40     3     154
455     40     3     182
456     40     3     215
457     40     3     262
458     40     3     295
459     40     3     321
460     41     4      42
461     41     4      51
462     41     4      66
463     41     4      85
464     41     4     103
465     41     4     124
466     41     4     155
467     41     4     153
468     41     4     175
469     41     4     184
470     41     4     199
471     41     4     204
472     42     4      42
473     42     4      49
474     42     4      63
475     42     4      84
476     42     4     103
477     42     4     126
478     42     4     160
479     42     4     174
480     42     4     204
481     42     4     234
482     42     4     269
483     42     4     281
484     43     4      42
485     43     4      55
486     43     4      69
487     43     4      96
488     43     4     131
489     43     4     157
490     43     4     184
491     43     4     188
492     43     4     197
493     43     4     198
494     43     4     199
495     43     4     200
496     44     4      42
497     44     4      51
498     44     4      65
499     44     4      86
500     44     4     103
501     44     4     118
502     44     4     127
503     44     4     138
504     44     4     145
505     44     4     146
506     45     4      41
507     45     4      50
508     45     4      61
509     45     4      78
510     45     4      98
511     45     4     117
512     45     4     135
513     45     4     141
514     45     4     147
515     45     4     174
516     45     4     197
517     45     4     196
518     46     4      40
519     46     4      52
520     46     4      62
521     46     4      82
522     46     4     101
523     46     4     120
524     46     4     144
525     46     4     156
526     46     4     173
527     46     4     210
528     46     4     231
529     46     4     238
530     47     4      41
531     47     4      53
532     47     4      66
533     47     4      79
534     47     4     100
535     47     4     123
536     47     4     148
537     47     4     157
538     47     4     168
539     47     4     185
540     47     4     210
541     47     4     205
542     48     4      39
543     48     4      50
544     48     4      62
545     48     4      80
546     48     4     104
547     48     4     125
548     48     4     154
549     48     4     170
550     48     4     222
551     48     4     261
552     48     4     303
553     48     4     322
554     49     4      40
555     49     4      53
556     49     4      64
557     49     4      85
558     49     4     108
559     49     4     128
560     49     4     152
561     49     4     166
562     49     4     184
563     49     4     203
564     49     4     233
565     49     4     237
566     50     4      41
567     50     4      54
568     50     4      67
569     50     4      84
570     50     4     105
571     50     4     122
572     50     4     155
573     50     4     175
574     50     4     205
575     50     4     234
576     50     4     264
577     50     4     264
