row   net_wealth  service_involvement  high_wealth
166   178209.077                    8            0
167   105943.607                    8            0
168   152534.457                    9            0
169   165748.863                   18            0
170   145609.705                   18            0
171   217496.896                   19            0
172   127026.911                    6            0
173   171449.959                   18            0
174   182034.742                   19            0
175   141074.331                   13            0
176   150031.788                    9            0
177   230234.031                    7            0
178   174947.531                    5            0
179   129379.255                    6            0
180   214159.861                   19            0
181   178981.636                    5            0
182   174048.176                    8            0
183   162486.448                    8            0
184   184432.400                   17            0
185   122084.203                    9            0
186   220139.064                   13            0
187   204351.214                   16            0
188   157038.375                   16            0
189   178592.460                   12            0
190   163843.621                   18            0
191   109351.762                    5            0
192    92483.092                   15            0
193   194419.464                   18            0
194   156584.492                   12            0
195   186716.344                   18            0
196    64630.811                    7            0
197   115769.662                   12            0
198   169527.361                   17            0
199   177949.676                    7            0
200    79571.501                    9            0
201    85632.004                   15            0
202   171343.948                    6            0
203   156978.653                   16            0
204   104831.206                   14            0
205   185335.233                    8            0
206   177915.271                   18            0
207   214989.174                   11            0
208   116040.633                   15            0
209   115190.336                   14            0
210   160301.034                   14            0
211   127013.078                   16            0
212   120927.521                   17            0
213   190944.753                   12            0
214   177457.267                   16            0
215   182803.567                   11            0
216   155048.205                   15            0
217   131566.985                    5            0
218   129180.597                   18            0
219    66102.494                   12            0
220   190004.499                    8            0
221   167432.550                   18            0
222   148700.577                   16            0
223   145904.451                    5            0
224   122846.234                   16            0
225    65553.080                    7            0
226   114571.787                   12            0
227   115427.950                    5            0
228   185136.672                    6            0
229   205997.675                    8            0
230   144445.841                   18            0
231   159825.164                   13            0
232   168212.262                   14            0
233   122709.840                    8            0
234   192277.031                    5            0
235   140256.401                   12            0
236   222451.543                   13            0
237   142393.628                   15            0
238   109350.185                    8            0
239   130273.923                   18            0
240   155804.139                   16            0
241   120292.216                    8            0
242   109817.326                    9            0
243   151526.780                   13            0
244   155591.980                   14            0
245   193381.812                    6            0
246   182438.760                   18            0
247   187040.049                   10            0
248   161177.951                    9            0
249   209468.703                   11            0
250    88063.893                   18            0
251   147201.964                    7            0
252   137789.055                   14            0
253   173829.040                   12            0
254   143366.049                   19            0
255   179021.854                    6            0
256   130118.440                   12            0
257   211216.515                    6            0
258    99419.180                    5            0
259    94589.902                    8            0
260   190265.459                   17            0
261   141423.481                   18            0
262   154459.093                   19            0
263   149698.507                   10            0
264   126653.964                   12            0
265   115666.630                    8            0
266   170573.790                   12            0
267    72456.372                    8            0
268   118578.984                   12            0
269   158566.245                    6            0
270   188100.679                   15            0
271   186055.236                   10            0
272   163794.271                   18            0
273   162884.047                   15            0
274   126274.064                   11            0
275   156552.399                    6            0
276   124159.316                   13            0
277   137023.451                   13            0
278   179112.159                    6            0
279   162042.463                    5            0
280   168873.603                   17            0
281   184435.329                   17            0
282   165303.903                   17            0
283    99927.880                   10            0
284   167790.456                    6            0
285    91671.054                   13            0
286   175520.285                   19            0
287   247440.240                   17            0
288    78274.532                   10            0
289   171079.166                   11            0
290   215259.969                   13            0
291   130251.727                    5            0
292   130412.886                   10            0
293    44310.104                    8            0
294   173857.451                   10            0
295   148144.931                   12            0
296   158729.120                    9            0
297   129955.825                   16            0
298   178108.898                   11            0
299   132841.410                   12            0
300   194636.496                   17            0
301   214584.764                   18            0
302   131170.059                   19            0
303   179425.103                   18            0
304   151501.209                   12            0
305   133959.085                   17            0
306   175720.357                   14            0
307   155145.261                   18            0
308   199269.047                    5            0
309   144415.385                    8            0
310   106004.401                    7            0
311   178095.075                   16            0
312   192658.209                    9            0
313    95702.588                   15            0
314   186792.983                   18            0
315   152235.680                    8            0
316   116059.328                    5            0
317   212547.139                   17            0
318   121425.976                    8            0
319   184710.333                   13            0
320   146590.766                    9            0
321   164384.005                    6            0
322   117718.622                    8            0
323   192585.372                    5            0
324   169523.735                   17            0
325   126746.755                    8            0
326   157289.664                   16            0
327   163738.494                   18            0
328   159643.272                   10            0
329   159544.285                   10            0
330   188715.408                    6            0
331   198091.824                   11            0
332   209826.109                   14            0
333   125710.798                   18            0
334   138272.002                    5            0
335   199464.617                   19            0
336   202166.739                   19            0
337   155360.937                   16            0
338   147354.209                    9            0
339   187928.293                    7            0
340   146873.120                   10            0
341   116236.560                    8            0
342   182194.073                   10            0
343   216386.978                   15            0
344   201980.111                   16            0
345   187673.810                   14            0
346   106942.654                   17            0
347   159762.912                   18            0
348   148698.328                   12            0
349   109338.021                    7            0
350   149700.506                   10            0
351   127682.824                   13            0
352   162473.660                    9            0
353   167492.702                   12            0
354   119778.012                    6            0
355   137415.921                    7            0
356   126605.784                   16            0
357   149033.450                   12            0
358   173542.953                    5            0
359   192272.796                    7            0
360   118211.377                   13            0
361    38736.943                    9            0
362   148527.244                    6            0
363   216974.796                   14            0
364   144374.519                    5            0
365   134136.575                    5            0
366   164536.134                   10            0
367   140197.861                   12            0
368   139017.162                   19            0
369   116748.260                    7            0
370   159339.327                    6            0
371   173282.660                   13            0
372   162658.458                    9            0
373   175072.570                   18            0
374    75747.337                   13            0
375   124464.586                    6            0
376   180989.340                   10            0
377   146501.269                   12            0
378    80345.826                   19            0
379   144336.538                   17            0
380   165481.478                    5            0
381   199972.321                    7            0
382   110624.243                   11            0
383   173784.073                    6            0
384   177466.950                   17            0
385   227607.877                    9            0
386    83455.584                   14            0
387   193916.860                   19            0
388   103594.803                    6            0
389   182081.935                    8            0
390   221947.795                   14            0
391    88481.494                    5            0
392   203835.893                   19            0
393   137868.586                   14            0
394   139293.610                    6            0
395   130086.613                   13            0
396    61096.756                    8            0
397    75883.978                    8            0
398   135352.068                   10            0
399   136982.969                   16            0
400   159614.071                    8            0
401   167507.546                    7            0
402   134668.367                    6            0
403   230192.467                   10            0
404   125337.206                   12            0
405   131176.379                   15            0
406   188665.535                   13            0
407   141367.431                    5            0
408   174119.201                   11            0
409   147472.793                   13            0
410   154985.195                   14            0
411   125331.034                   17            0
412   221428.196                   15            0
413   153207.510                    7            0
414   206518.479                   17            0
415   195759.245                    7            0
416   157583.027                   17            0
417   165118.387                   16            0
418   119016.817                   18            0
419   159471.315                   17            0
420   139420.883                   18            0
421   182224.617                   14            0
422   181099.939                    5            0
423   155245.617                   14            0
424   248390.999                    6            0
425   207185.127                   13            0
426   223503.015                    8            0
427   195387.584                   17            0
428   206452.621                   12            0
429   146147.235                   13            0
430   125229.267                   10            0
431   162617.106                    8            0
432   145488.085                    6            0
433   166672.913                   13            0
434   160268.749                    7            0
435   208211.219                   12            0
436   175689.725                    5            0
437   207385.077                    7            0
438   117058.896                    6            0
439   205376.355                    7            0
440   129928.484                   12            0
441   171807.134                   13            0
442   129453.594                   16            0
443   154410.078                    7            0
444   134796.208                   14            0
445    98760.296                   15            0
446   165454.436                    8            0
447   147637.160                   10            0
448   153980.900                   13            0
449   218830.328                    8            0
450   208042.240                    8            0
451   116347.855                   10            0
452   149996.346                   13            0
453   186168.018                   17            0
454   159127.578                   19            0
455   146394.061                   14            0
456   139663.974                   17            0
457   150664.004                   18            0
458   185658.758                   11            0
459   172217.678                    8            0
460   201193.803                    8            0
461   146797.102                   11            0
462   137126.804                    9            0
463   189614.265                   15            0
464   195480.738                    8            0
465   194714.036                    5            0
466   181687.740                   14            0
467   174622.543                   11            0
468   170078.423                   17            0
469    87533.377                   10            0
470   129385.745                   11            0
471   128483.198                   10            0
472   257707.109                    6            0
473   168129.727                   15            0
474   116327.424                   13            0
475   179668.507                   16            0
476    91337.417                   14            0
477   111544.819                    6            0
478   197457.111                   12            0
479   140584.147                    9            0
480   109411.665                   10            0
481   183462.235                    8            0
482   144237.046                   15            0
483    98162.819                   18            0
484    67274.097                   18            0
485   140873.788                   16            0
486   157214.047                    5            0
487    66817.503                   12            0
488    86685.291                   18            0
489   168833.569                   12            0
490   106535.921                   15            0
491    96151.947                    5            0
492   148741.765                    9            0
493   187886.315                   11            0
494    95844.976                    5            0
495   137567.543                   10            0
496   150315.171                    8            0
497    92062.400                    7            0
498   185808.190                   18            0
499   188274.252                   11            0
500   167665.192                    7            0
501   196953.573                    9            0
502   192870.805                    8            0
503   114362.571                    6            0
504   178538.395                    9            0
505   174725.613                   15            0
506    88214.097                   19            0
507   160061.106                   17            0
508   231867.896                   13            0
509   126538.898                   10            0
510   138662.909                    9            0
511   154272.430                   15            0
512   223286.813                   19            0
513   151648.316                    6            0
514   233406.785                   13            0
515   219503.532                   15            0
516   165643.922                    6            0
517   137872.385                   18            0
518   107207.973                   19            0
519   190976.266                    9            0
520   179855.105                    7            0
521   117852.151                   11            0
522    95336.865                   15            0
523   138395.031                   19            0
524   139589.835                   18            0
525   146429.775                    6            0
526   142010.881                   14            0
527   196127.056                   10            0
528   181995.841                    9            0
529   147959.963                   10            0
530   169011.323                   16            0
531   163732.702                   17            0
532   178081.927                   18            0
533   152488.154                   13            0
534   106538.620                    7            0
535   103079.055                   15            0
536   189986.018                    6            0
537    95370.950                   14            0
538   103348.202                   16            0
539   193832.923                    5            0
540   113348.215                    9            0
541   206016.559                    7            0
542    89705.586                    9            0
543   116905.333                   12            0
544    95160.690                    9            0
545   146034.819                    7            0
546   219900.660                    9            0
547   184891.513                   19            0
548   158725.982                    7            0
549   129996.527                   15            0
550   257572.538                   10            0
551   190659.634                   17            0
552   172541.337                   16            0
553   139504.550                   15            0
554   141015.062                   16            0
555   176683.141                   12            0
556   175706.629                    5            0
557   136486.706                    8            0
558   145473.167                    7            0
559   158009.574                   14            0
560   131657.200                   13            0
561    60113.804                   11            0
562   100912.482                    9            0
563    77709.039                    7            0
564   117208.162                   13            0
565   114376.965                   10            0
566   134923.157                   13            0
567   243281.907                    7            0
568   179225.952                    6            0
569   113062.725                    8            0
570   139434.458                   12            0
571   151987.445                   11            0
572   163725.500                    9            0
573   120335.021                    8            0
574   190436.607                   13            0
575   116352.318                    9            0
576    19990.333                    7            0
577   223965.771                   12            0
578    90453.635                   10            0
579   167531.977                    5            0
580   113226.335                    7            0
581   159110.028                   17            0
582   213642.565                   11            0
583   241603.659                   18            0
584   111326.572                    7            0
585   189737.014                    7            0
586   208529.325                    9            0
587   201572.737                   12            0
588   104615.152                   17            0
589   195905.020                   15            0
590   165908.678                   16            0
591   161401.537                    7            0
592   191467.091                    9            0
593   176918.278                   17            0
594   197001.952                    6            0
595    96400.339                   12            0
596   141573.772                    8            0
597   110855.095                   16            0
598   198845.504                   18            0
599   144554.494                    6            0
600   152043.830                    6            0
601   307297.077                    6            0
602   176039.827                    9            0
603   159620.098                   10            0
604   187777.524                    6            0
605   105566.223                    5            0
606   109084.937                    9            0
607   112788.598                   18            0
608   178143.349                   11            0
609   182557.166                   11            0
610   197629.057                   19            0
611   155565.827                   18            0
612   133412.449                   11            0
613   124454.395                   10            0
614    68304.884                   19            0
615   148821.184                   17            0
616   174308.352                   10            0
617   160894.756                   14            0
618   107984.259                   12            0
619    67273.722                   10            0
620    97977.648                    9            0
621   139481.501                   13            0
622   142322.659                   10            0
623   179999.835                    8            0
624   220765.241                   16            0
625   165733.212                    7            0
626   142185.048                   16            0
627   118947.179                    6            0
628   154629.748                   19            0
629   140009.263                   12            0
630   162018.860                    6            0
631   157404.423                    7            0
632   179422.295                    5            0
633   143312.941                   14            0
634   222687.949                    5            0
635   137836.718                   10            0
636    95176.501                   12            0
637   145189.686                   17            0
638   191067.204                    6            0
639   224920.792                   16            0
640   205335.077                   18            0
641   128102.284                   19            0
642   132232.498                   19            0
643    67455.168                   16            0
644   157800.791                   11            0
645   182186.255                   18            0
646   184232.843                    6            0
647   162328.159                    9            0
648   111763.507                   16            0
649   118772.844                    9            0
650   168700.123                   19            0
651   113837.983                   16            0
652   163017.632                   11            0
653   168636.241                   10            0
654   161432.423                   18            0
655   103234.518                   18            0
656   138672.073                   15            0
657   152543.715                   15            0
658   101283.459                   18            0
659   195632.378                    8            0
660   161488.348                    8            0
661   104806.692                   11            0
662   228925.393                   10            0
663   168949.293                    7            0
664   115810.448                   10            0
665   184184.556                   16            0
666   203440.998                   12            0
667   145518.223                   16            0
668   170773.876                   13            0
669   186055.789                   17            0
670   194159.217                    5            0
671   176247.008                   14            0
672    94323.521                   15            0
673   111678.010                   13            0
674   128123.222                    6            0
675   166368.522                   15            0
676   238411.321                   10            0
677   129801.600                   18            0
678   138402.407                   11            0
679   124948.155                   10            0
680   116020.415                    5            0
681   240717.148                   17            0
682   122608.870                    6            0
683   116387.127                    7            0
684   148615.114                    6            0
685   175476.919                    6            0
686   123110.701                   15            0
687   162405.558                   10            0
688   123200.587                   14            0
689   112642.326                    6            0
690   111708.415                   16            0
691   176919.678                    6            0
692   132362.581                   19            0
693   193945.821                    7            0
694   115452.272                    6            0
695    48678.670                   19            0
696   151236.472                    5            0
697   147585.340                    8            0
698   208140.524                   11            0
699   146871.932                    7            0
700   122947.535                    8            0
701   128298.579                   19            0
702   215996.036                   19            0
703   115925.170                   12            0
704   133982.317                   17            0
705   131805.988                   16            0
706   167970.906                   10            0
707   176786.602                   12            0
708   185253.377                   19            0
709    96445.199                   15            0
710   114534.618                   18            0
711   121757.740                    9            0
712   181258.656                   10            0
713   124559.454                   18            0
714   204326.570                   18            0
715   176189.785                   15            0
716   112932.943                   18            0
717   114987.712                    8            0
718   155801.400                    8            0
719   119348.670                   16            0
720   132561.738                    5            0
721   180367.242                   16            0
722   112050.825                   11            0
723   172421.433                   12            0
724   113279.363                    5            0
725   204201.302                   18            0
726   186709.899                   11            0
727    79147.138                   17            0
728   140396.871                   18            0
729   115884.164                   10            0
730    56150.613                   19            0
731   164494.563                    5            0
732   208459.994                   17            0
733   168242.901                   18            0
734   189482.452                   15            0
735   211293.245                    5            0
736   202046.325                    5            0
737   132091.022                    6            0
738   120983.977                    8            0
739   164089.839                    6            0
740   198764.665                   10            0
741    96465.650                   15            0
742   189742.211                    8            0
743   159531.167                   14            0
744   152352.903                   13            0
745   187543.750                   11            0
746   129657.510                    9            0
747   155207.285                   10            0
748   150155.915                   13            0
749   136836.824                    5            0
750   181563.490                    5            0
751   175005.479                   17            0
752   122175.184                   14            0
753   202371.392                   13            0
754   176254.438                   15            0
755   150159.849                   19            0
756   187786.483                   12            0
757   207704.955                   18            0
758   162032.244                   17            0
759    91488.183                   14            0
760   182754.642                    9            0
761   170081.446                    9            0
762   190197.140                    9            0
763   109157.594                   16            0
764    97815.323                    5            0
765   162852.478                    5            0
766   134009.823                   13            0
767   113379.816                   12            0
768   164140.259                   19            0
769   114787.800                   15            0
770   203976.453                    8            0
771   138241.457                    6            0
772   177271.414                   15            0
773   192803.560                    6            0
774   172852.935                    8            0
775   134906.199                   16            0
776   209644.534                   15            0
777   173931.301                    7            0
778   134993.221                   19            0
779   151871.728                    7            0
780   117927.437                   18            0
781   113864.679                    9            0
782   164630.006                   11            0
783   189815.014                    5            0
784   133913.005                    5            0
785   125193.155                   16            0
786   174982.650                    9            0
787    88658.450                   13            0
788   150047.003                   15            0
789   194025.731                   14            0
790    71680.900                   15            0
791   182821.015                   16            0
792   141332.399                   14            0
793   165438.948                    5            0
794    93749.519                   14            0
795   118258.718                   15            0
796   245807.257                    8            0
797   146912.907                    8            0
798   146966.651                   15            0
799   128605.161                    7            0
800    84810.467                    9            0
801    93657.141                   15            0
802    79869.153                   11            0
803   128480.132                    8            0
804   141238.010                    5            0
805   191328.772                   18            0
806    88634.674                   13            0
807   176558.827                   17            0
808   141405.437                    9            0
809   130687.309                   19            0
810   175775.725                   13            0
811   103957.791                   15            0
812   165713.547                   15            0
813   112132.027                   13            0
814   119786.142                   16            0
815   185726.434                   14            0
816   134066.130                   12            0
817    76416.321                   10            0
818   107336.313                    6            0
819   169210.782                   10            0
820    87769.200                   14            0
821   157392.511                   18            0
822   185151.046                   18            0
823   155129.504                   17            0
824    71787.473                    7            0
825   169831.700                    7            0
826   171498.224                   13            0
827   133758.964                    9            0
828   150356.941                    6            0
829   157545.255                   15            0
830   156993.759                   11            0
831   108298.899                    9            0
832   167708.975                   17            0
833   133113.602                   18            0
834   158726.433                   16            0
835   157127.215                    5            0
836   153490.070                   16            0
837   219372.377                    9            0
838   178225.092                    8            0
839   119959.585                   12            0
840   179459.298                   11            0
841   146383.168                   18            0
842   142176.557                   16            0
843    14908.839                    7            0
844   148737.235                   14            0
845   109598.584                   16            0
846   161997.409                   16            0
847   261585.000                   16            0
848   129166.199                   19            0
849   128102.176                   13            0
850    69385.880                   11            0
851   107129.657                   16            0
852   145524.085                   18            0
853   122686.081                   13            0
854   108314.774                    5            0
855   135115.928                   13            0
856    91133.553                   12            0
857   170278.989                   10            0
858   187514.643                   16            0
859   144922.814                    8            0
860   109796.741                   11            0
861    78395.156                    8            0
862   144385.690                   13            0
863   105732.711                    6            0
864   127392.451                   15            0
865   151390.656                   16            0
866   125660.869                   14            0
867   131798.306                   14            0
868   189593.808                   17            0
869   109592.004                   14            0
870    94391.097                    6            0
871   124423.951                   11            0
872   138662.534                   11            0
873    69891.023                    8            0
874   182400.950                    7            0
875   210660.361                   19            0
876    92004.948                   10            0
877   102260.163                   19            0
878   178563.076                   12            0
879   134790.385                   15            0
880   188996.020                   14            0
881   117002.547                   10            0
882   159126.213                   12            0
883   163654.879                   14            0
884   190002.022                   10            0
885   113590.437                   10            0
886   114578.349                   15            0
887   153743.626                   19            0
888   150259.465                    9            0
889   145057.491                   14            0
890   157428.093                   19            0
891    96319.192                   19            0
892   142331.566                   11            0
893    89713.768                   12            0
894   200786.103                    7            0
895    92584.499                   19            0
896   187444.957                   17            0
897    70990.199                   11            0
898   125778.153                   16            0
899   159861.388                    6            0
900   110836.595                    5            0
901   127909.397                   11            0
902   203510.437                   13            0
903   134778.104                   18            0
904   160901.047                   18            0
905   163687.227                   16            0
906   115622.733                   10            0
907   174384.918                   19            0
908   134074.239                   18            0
909   190097.820                    8            0
910   151493.209                   14            0
911   113138.682                   17            0
912   171147.384                   18            0
913   101326.699                    6            0
914   206865.606                   17            0
915    94940.225                   13            0
916    91861.322                   14            0
917    99740.347                   12            0
918   162142.524                   10            0
919   162664.792                   16            0
920   180755.574                    5            0
921   211192.962                   19            0
922   176613.931                   15            0
923   208895.812                    8            0
924   111537.939                   19            0
925   110273.012                   19            0
926   143898.676                   19            0
927   137199.331                   19            0
928   143352.981                   12            0
929   151411.144                   15            0
930   119117.887                   14            0
931   165960.243                   11            0
932   181635.166                   16            0
933   267597.753                    5            0
934   132091.549                   15            0
935   148472.283                   15            0
936   102073.515                   14            0
937   149869.720                   11            0
938   173941.269                    9            0
939   137709.939                   19            0
940   170803.484                   15            0
941   150852.980                   15            0
942   175239.480                   14            0
943   172457.334                    5            0
944   160405.617                   10            0
945   153467.368                   18            0
946   204705.068                   11            0
947   164056.017                   18            0
948   163467.967                   14            0
949   159962.551                    5            0
950   153037.029                   17            0
951    77922.073                   10            0
952   182679.776                   11            0
953   126110.011                    8            0
954   125500.990                   18            0
955   116423.181                   16            0
956   141942.701                   19            0
957    58799.863                    7            0
958   126350.083                    5            0
959   177092.321                   19            0
960   172021.029                   18            0
961   159542.117                    5            0
962   115021.667                    5            0
963   143262.944                   15            0
964   164537.341                    9            0
965   155537.266                   17            0
966    40027.496                   12            0
967   169541.301                    5            0
968   189096.455                   14            0
969   223378.790                   19            0
970   158889.433                   10            0
971   172526.486                   16            0
972   136766.426                   10            0
973   182232.005                    7            0
974   150899.511                    6            0
975    99261.290                   11            0
976   147341.377                    7            0
977    47322.596                   10            0
978   246304.045                    7            0
979   155317.069                   17            0
980    81142.288                   16            0
981   125849.452                   13            0
982    91709.189                   11            0
983   182100.646                    7            0
984   143986.356                    7            0
985   182827.015                   19            0
986   146773.797                   17            0
987   139933.542                    5            0
988    78948.959                    9            0
989   140064.845                   15            0
990   128553.095                    7            0
991   145233.420                    5            0
992   131815.665                   10            0
993    68967.447                   12            0
994   153425.544                    5            0
995   178915.625                    7            0
996   147440.483                    7            0
997    81261.390                   17            0
998    82307.157                   19            0
999   167883.016                   19            0
1000   -9914.138                   10            0
1001  132287.996                    7            0
1002  123512.610                    9            0
1003  130038.552                   18            0
1004  141305.411                   17            0
1005  132026.755                   19            0
1006  123264.974                    7            0
1007  160517.218                    7            0
1008  194671.289                   17            0
1009   76467.188                   16            0
1010  190829.435                    6            0
1011  159187.671                   14            0
1012   94027.973                   11            0
1013  164415.148                    8            0
1014  194823.902                   15            0
1015  197379.014                    5            0
1016  222789.809                   12            0
1017  135644.963                   10            0
1018  199627.342                   15            0
1019  104915.915                   17            0
1020  109008.628                   17            0
1021  155372.739                   10            0
1022  149306.075                   12            0
1023  125514.132                   18            0
1024  147425.714                   15            0
1025  121475.727                    5            0
1026  165135.819                    7            0
1027  153002.746                    5            0
1028  117034.953                    7            0
1029   46027.141                   11            0
1030  178514.216                    9            0
1031  182365.801                    5            0
1032  142132.285                    6            0
1033  186505.038                   13            0
1034  207375.646                   12            0
1035  129020.025                    7            0
1036  131390.353                    7            0
1037  129697.905                    7            0
1038  177685.547                   15            0
1039  113513.907                   16            0
1040  155921.149                   15            0
1041  203571.392                   15            0
1042  162077.890                   15            0
1043  138651.138                    9            0
1044  154375.614                   13            0
1045  237395.875                   10            0
1046  127569.391                   11            0
1047  103317.442                    5            0
1048  124331.404                    9            0
1049  191954.191                   17            0
1050  169107.844                   15            0
1051  142619.683                   13            0
1052  115365.130                   19            0
1053  141476.303                    7            0
1054  157220.688                   16            0
1055   99840.827                    7            0
1056  136699.897                   15            0
1057  168637.568                   12            0
1058  105891.659                   17            0
1059  180197.786                   16            0
1060  156714.740                   11            0
1061  111360.507                   11            0
1062   82861.174                    9            0
1063  168072.040                    7            0
1064   75840.915                   11            0
1065  182065.603                    7            0
1066  100765.770                   10            0
1067  143892.583                   13            0
1068  126625.862                    9            0
1069  163847.791                    5            0
1070  234227.943                    7            0
1071  172066.866                   15            0
1072  154070.570                    9            0
1073  157341.508                   16            0
1074  107731.458                   10            0
1075  112854.167                    8            0
1076  142860.647                   14            0
1077  175301.445                   13            0
1078   76707.778                   16            0
1079  196603.518                    5            0
1080  195620.709                    9            0
1081  120422.169                   17            0
1082  246679.093                    6            0
1083  182301.211                    6            0
1084  126306.699                    5            0
1085  150894.923                   16            0
1086  206985.738                    8            0
1087  167508.313                    7            0
1088  136517.003                    7            0
1089   87699.155                   15            0
1090  120044.746                   18            0
1091  211623.996                   18            0
1092  145876.293                   12            0
1093  109508.130                   12            0
1094  145704.181                    8            0
1095  139354.103                   12            0
1096  174870.246                   14            0
1097  172836.821                    6            0
1098  108347.329                    9            0
1099  194162.945                   16            0
1100  154756.541                   12            0
1101  201573.275                   13            0
1102  178176.335                    5            0
1103  129643.123                   13            0
1104  185467.622                   14            0
1105  152879.983                   13            0
1106  202866.222                   19            0
1107  132740.509                   13            0
1108  121401.707                    5            0
1109  118950.728                    5            0
1110  199996.121                    6            0
1111  153200.584                   16            0
1112  189115.987                   18            0
1113  177405.259                   19            0
1114  152066.273                    8            0
1115   78746.685                    5            0
1116  149613.300                   10            0
1117  150081.175                   15            0
1118  212820.723                   10            0
1119  130168.284                   16            0
1120  113487.997                    7            0
1121  153740.762                    6            0
1122  168772.892                    8            0
1123  143630.754                   10            0
1124  175340.488                    7            0
1125  118109.427                    6            0
1126  134708.574                   16            0
1127  165504.300                   16            0
1128  106525.535                   11            0
1129  138056.159                   12            0
1130  195890.446                   13            0
1131  164418.065                   16            0
1132  143397.193                    7            0
1133  141471.511                   12            0
1134   91829.793                   16            0
1135  203339.405                   14            0
1136  182251.676                   10            0
1137  204672.966                    5            0
1138  139666.800                    8            0
1139  109075.516                   10            0
1140  135221.244                    7            0
1141  105524.596                   12            0
1142  167799.578                   13            0
1143  217912.857                    9            0
1144  138961.428                   14            0
1145  206302.121                    9            0
1146  200424.080                   15            0
1147  188482.622                    6            0
1148  133621.467                   15            0
1149  174255.907                   11            0
