 row  count
1362    264
50       10
427     516
1057     27
602      21
741     352
449     771
468     274
1101    315
1028    300
263     152
1385    845
97       30
499     238
1453    290
1356    626
392     661
966      44
1254    187
43      581
1108      5
1018    328
86      547
332     356
553      17
154     325
1436    427
1270    281
772       9
1071    283
1457    844
1443      5
666     481
1265    783
1062     64
266       9
138     560
1391    114
905     868
707     215
45      258
962      20
847      68
1422    181
258     814
776     739
523     522
152     152
910     224
110     241
1347     53
1234    178
1040    673
1027    465
406     244
582     190
1226      8
163     287
270     178
1483    452
835     397
1279    481
33      295
1000    531
878     287
684     511
1331    457
1076    436
580       4
1050    812
517     626
939       6
839     222
15      345
1172    341
597     397
1334    482
1338    383
1064    618
965      33
381     328
346     382
736     402
784     406
78       32
1293    329
5        10
903     306
1180     26
864      33
1005    128
408      53
792      71
85      499
1285    346
1078    189
587     281
1250     17
1364    211
489     207
615     238
1371      4
1069    286
674     112
1341    208
375     237
1017    217
1031    110
1291    633
956     478
134     275
738     857
1223    102
860     193
72      159
306     631
1008    120
184     291
303     353
785     865
729     333
209     849
680     127
1199     46
1010     86
722       8
1055    128
1228      4
932     500
1479    526
145      71
136     369
444     274
178     319
130     210
630     139
944     698
761     837
1002    300
803     263
564     229
1466     20
328     566
1321    115
66      627
1340    241
240      44
246     185
81      293
120     102
701      47
274     214
611     212
1427    253
55      483
987      21
908     448
945     353
546     741
186     253
1245    280
67      497
1084      4
1191    276
1192    356
616     374
824     181
206     242
1437    313
157     360
890      13
216      69
990      23
1369      7
1094    255
229     280
433      25
177     242
1011     48
700       5
969     220
1120    419
457      11
491     305
234     819
1257    376
98       18
882     843
334     225
783     270
282     825
1106     15
437      40
906     814
694     148
1225     33
431     131
257     830
367     483
1156     13
737     820
1198     56
83      485
981     286
304     492
1129     54
610     222
1462    291
934     233
421     203
984     180
235     414
1353    263
172      13
786     767
19      382
1161    292
200     455
566     244
391     526
68      376
628       8
1025    505
1103    138
1070    255
20      332
689     531
554      16
1274     20
279     271
124       6
579      12
1278    192
617     738
778     181
779     226
376     386
250     195
228     272
40      365
428     366
278     209
1023    577
336     187
95      183
705     293
838     269
30      136
1187    272
1001    512
1297     42
452     505
1365    166
522     515
825     278
646     199
417     297
317       5
1097    851
476     251
647     189
706     189
7        50
982     218
679      40
704     751
591     317
723       6
734     260
1379    229
396     254
280     439
1414    216
586     231
543     281
245      41
1083     11
1469     29
1195    341
501     163
749      49
594     891
742     257
643     516
500     214
251     229
456      34
198      92
102     133
712     425
1209    357
773      41
289      59
44      395
1387    573
212     447
698       8
1316    363
128     585
1042    199
834     490
1276      6
1149    255
294     127
1253     40
1446    163
683     509
1037     36
1375    433
313     118
767     152
954     811
670     276
497     241
300     379
1029    220
1009    113
599     239
909     317
373     239
299     288
1448    754
676      13
817     122
598     278
176     130
108     276
1229     34
1125    356
857     382
1233    328
975     324
733     288
952     417
1408    480
568     455
996     546
362      15
244       7
418     138
267      10
109     310
399     244
758     263
980     370
9       219
967     133
1284    332
1127    226
190     122
372     237
243       5
1251      7
989      11
1426    178
112     433
201     363
1467      5
1116    343
164     276
1296    111
510      19
507      43
1221    245
305     835
520     628
861     208
37      236
1241    878
1208    655
642     622
1188    298
436       8
528      47
344     133
90      430
478     135
326     632
62      310
57      272
925     313
292      11
1386    834
462     126
387       3
937      28
21      258
696      58
902     261
1134    157
877     289
1337    403
993     271
208     413
114     607
995     499
728     760
637     314
682     381
52        6
151      71
41      747
800     668
1486    277
968     119
315      40
973     290
561     339
542     271
714     812
994     407
219       3
1361    233
1410    818
1413    314
972     315
732     248
1164    654
291       9
725      45
1052    432
560     743
570     877
205     255
1035      6
1384    444
345     221
923     239
1181     11
753     350
1244    358
614     213
1288    465
4         4
23      110
301     374
298     268
49       14
273     327
1138    231
1190    149
620     446
27        5
1441     23
1322     79
1162    480
958     259
1004    160
175      52
1431    338
567     285
1442     17
1126    254
166     220
368     667
463     360
1109     37
692     303
285     373
1170    554
54      154
117     323
963       9
173       6
123       7
893      36
10      366
541     240
239     103
548     403
162     277
395     206
1419      9
726     194
223     520
971     251
777     343
100       7
1302    151
697      19
1140    365
663     497
655      76
991      62
595     698
338     115
369     348
565     273
1439    157
1305    389
426     643
144     150
976     467
590     247
0       149
1299      8
195       5
79       72
469     156
490     268
854     526
1021    543
1247    136
1139    303
829     527
1420     10
393     320
1459    610
277     277
1460    471
91      432
170      70
272     702
75       32
887     113
324     499
1102    226
1407    317
946     205
56      646
816     161
87      454
1012     10
107     244
536     738
236      84
711     236
498     177
780     286
1224     59
1252      8
357     223
269      44
461      42
74       93
59      217
404     427
286     318
492     457
571     632
1260    312
1065    402
1373     36
1308    371
739     614
1143    383
11      377
1376    699
1026    491
227     249
1367     80
1185    270
26       15
957     336
527     123
1088    682
242       5
727     513
1403    218
1470    108
1206    161
1352    133
912      58
379     595
397     221
71      171
1335    233
833     492
865      11
505     130
1477    368
1383    282
211     631
1484    356
1476    410
948     277
619     614
1081     37
353     436
1332    584
479     166
811     469
1118    248
513     258
482      60
907     610
354     312
148      16
1184    124
853     523
487      37
1289    820
645     260
801     396
363       6
1020    505
1119    260
933     381
688     521
870     141
1272     60
1177    131
237      90
94      502
856     421
63      401
365      50
641     699
1336    434
1333    517
1015     39
621     271
1104     76
1359    391
1264    460
1193    343
1240    467
709     226
759     295
1465     32
1432    493
690     419
1309    351
1401    395
335     211
1300      8
876     285
202     175
812     389
789     342
230     242
1256    740
678      18
1167    596
685     483
775     473
1175    235
1048    464
232     435
662     494
1067    196
341       9
132     331
1405    288
343      47
521     556
254     241
1404    297
283     629
1137    378
82      447
64      527
677      17
953     810
1273     25
770      11
743     147
914       6
1294    198
631     410
1394     15
1056     60
115     503
1205     37
664     487
1304    744
531       2
1113    337
378     794
768      63
1416     47
121      29
1438    235
1330    442
1079    167
470     229
1396      8
465     373
423     194
1450    234
1060      5
1449    396
374     212
919     482
1169    635
827     470
693     271
1463    152
1345    134
1269    351
921     341
483      25
849     229
506     122
217      15
1366    114
1082      8
389      38
710     254
1214    275
425     370
1355    482
1286    305
382     284
1372     12
329     458
349     480
535     421
961      41
681     226
1039    436
22      151
717     322
34      174
276     292
821      17
1266    683
414     162
675      55
370     186
159     306
287     211
183     298
1155     30
1046    248
532       8
533      51
813     278
1320    135
1306    262
871     407
1087    492
1261    316
1131      6
160     294
1189    162
1022    579
632     676
1317    306
127     353
6        27
941      41
581      59
80      153
904     445
187     250
1077    308
1468      7
364      12
415     495
1098    848
192      39
534     157
181     337
214     224
485      17
1117    300
648     191
122      17
1124    514
358     130
559     516
605      42
416     679
872     605
724       6
474     622
578      12
403     547
284     514
702     161
1458    853
754     236
1194    377
386       7
667     338
331     431
774     183
430     288
868      11
653      14
447     292
691     443
101      29
446     197
740     452
1287    305
1370      8
207     280
788     427
1393     21
288      95
1271    140
844      14
1351     34
916       7
1072    458
1301     38
804     338
964       7
1312    515
1480    528
253     273
1243    476
936      67
455      65
538     200
874     213
268       5
765     320
545     847
1360    173
118     225
413      46
1135    379
174      21
1212    282
400     381
1141    357
93      584
1007    163
311     212
518     616
1348     16
153     256
920     737
1342    182
443     216
1148    359
1415    109
1047    274
1054    192
225     331
1024    513
1423    554
713     827
435       5
179     389
1417     14
508      16
32      568
1290    941
38      230
24       43
29       40
199     230
832     450
1151    121
180     376
823      67
1429    300
264      56
126     131
1464     82
719     150
295     380
794      14
652      11
660     487
1217    893
105     293
1095    266
347     451
745      33
922     214
419     183
402     772
509       6
1073    812
1220    261
669     300
915       7
231     265
730     227
703     469
869      25
1344    134
1227      3
716     462
125      35
687     501
1307    281
551     114
747       7
607     495
1390    161
1044    276
808     492
1032     47
540     314
577      28
796      12
1380    283
398     214
1478    436
1444      8
89      414
888      47
191     123
1163    536
1207    442
897     327
1451    276
1051    555
248     674
1202      5
70      177
799     421
852     491
699       3
1434    812
1472    690
1130     19
880     451
771       6
377     755
951     267
672     188
366     140
986      85
859     185
514     379
851     437
1186    425
606     181
333     269
1237    331
1128     88
1152    105
563     201
241      14
845      19
1030    181
1196    274
222     187
549     296
1203      3
1471    421
892       9
1085     39
526     191
445     254
1086    172
943     475
1061     36
1358    377
640     499
625      54
14      444
165     201
618     688
1315    536
1036     11
