 row  hr  holiday  workingday  temp   hum  windspeed  instant  mnth  yr  Clear_to_partly_cloudy  Light_Precipitation  Misty
822    6        0           0  0.70  0.84      0.224    13826     8   1                       1                    0      0
1473   9        0           1  0.74  0.70      0.000    14477     8   1                       1                    0      0
1183   7        0           0  0.62  0.69      0.134    14187     8   1                       0                    0      1
1430  14        0           1  0.76  0.40      0.090    14434     8   1                       1                    0      0
1424   8        0           1  0.66  0.61      0.164    14428     8   1                       1                    0      0
458    2        0           1  0.66  0.89      0.090    13462     7   1                       0                    0      1
547   19        0           1  0.80  0.52      0.254    13551     7   1                       1                    0      0
42    18        0           1  0.84  0.32      0.164    13046     7   1                       1                    0      0
18    18        0           0  0.88  0.32      0.358    13022     7   1                       1                    0      0
623   23        0           1  0.72  0.70      0.134    13627     7   1                       1                    0      0
1115  11        0           1  0.76  0.37      0.090    14119     8   1                       1                    0      0
147    3        0           0  0.74  0.74      0.134    13151     7   1                       1                    0      0
314    2        0           0  0.70  0.54      0.104    13318     7   1                       0                    0      1
1440   0        0           1  0.64  0.69      0.000    14444     8   1                       1                    0      0
1412  20        0           1  0.72  0.48      0.104    14416     8   1                       1                    0      0
320    8        0           0  0.62  0.78      0.284    13324     7   1                       1                    0      0
1219  19        0           1  0.62  0.78      0.194    14223     8   1                       0                    0      1
988    4        0           0  0.62  0.83      0.104    13992     8   1                       1                    0      0
36    12        0           1  0.84  0.32      0.194    13040     7   1                       1                    0      0
797    5        0           1  0.66  0.83      0.164    13801     8   1                       1                    0      0
1388  20        0           1  0.74  0.70      0.194    14392     8   1                       1                    0      0
798    6        0           1  0.66  0.83      0.224    13802     8   1                       1                    0      0
1314  18        0           1  0.72  0.62      0.194    14318     8   1                       0                    0      1
974   14        0           1  0.76  0.58      0.358    13978     8   1                       1                    0      0
1157   5        0           0  0.60  0.78      0.254    14161     8   1                       1                    0      0
782   14        0           1  0.86  0.41      0.134    13786     8   1                       1                    0      0
31     7        0           1  0.74  0.51      0.104    13035     7   1                       1                    0      0
384    0        0           1  0.72  0.84      0.104    13388     7   1                       1                    0      0
1318  22        0           1  0.70  0.61      0.000    14322     8   1                       0                    0      1
35    11        0           1  0.84  0.28      0.298    13039     7   1                       1                    0      0
1158   6        0           0  0.60  0.83      0.224    14162     8   1                       1                    0      0
189   21        0           0  0.76  0.70      0.134    13193     7   1                       1                    0      0
626    2        0           1  0.70  0.79      0.134    13630     7   1                       1                    0      0
103    7        0           1  0.76  0.55      0.000    13107     7   1                       1                    0      0
1216  16        0           1  0.72  0.54      0.254    14220     8   1                       1                    0      0
848    8        0           0  0.76  0.66      0.328    13852     8   1                       1                    0      0
388    4        0           1  0.72  0.62      0.000    13392     7   1                       1                    0      0
556    4        0           1  0.66  0.83      0.090    13560     7   1                       1                    0      0
385    1        0           1  0.74  0.70      0.000    13389     7   1                       1                    0      0
1455  15        0           1  0.80  0.46      0.164    14459     8   1                       1                    0      0
1255   7        0           1  0.62  0.78      0.000    14259     8   1                       1                    0      0
927   15        0           1  0.84  0.44      0.194    13931     8   1                       0                    0      1
935   23        0           1  0.72  0.70      0.134    13939     8   1                       1                    0      0
1397   5        0           1  0.66  0.83      0.090    14401     8   1                       0                    0      1
569   17        0           1  0.80  0.52      0.328    13573     7   1                       1                    0      0
1033   1        0           1  0.66  0.65      0.090    14037     8   1                       1                    0      0
310   22        0           1  0.74  0.45      0.000    13314     7   1                       1                    0      0
1058   2        0           1  0.68  0.83      0.194    14062     8   1                       0                    0      1
252   12        0           1  0.78  0.43      0.000    13256     7   1                       0                    0      1
894    6        0           1  0.70  0.79      0.194    13898     8   1                       0                    0      1
970   10        0           1  0.66  0.89      0.104    13974     8   1                       1                    0      0
650    2        0           0  0.72  0.70      0.000    13654     7   1                       1                    0      0
12    12        0           0  0.90  0.37      0.224    13016     7   1                       1                    0      0
524   20        0           0  0.70  0.74      0.164    13528     7   1                       1                    0      0
316    4        0           0  0.66  0.61      0.104    13320     7   1                       0                    1      0
1263  15        0           1  0.76  0.48      0.134    14267     8   1                       1                    0      0
671   23        0           0  0.66  0.83      0.090    13675     7   1                       1                    0      0
204   12        0           1  0.74  0.58      0.134    13208     7   1                       0                    0      1
297    9        0           1  0.72  0.51      0.000    13301     7   1                       0                    0      1
529    1        0           1  0.66  0.89      0.194    13533     7   1                       1                    0      0
840    0        0           0  0.74  0.70      0.284    13844     8   1                       1                    0      0
453   21        0           1  0.66  0.89      0.254    13457     7   1                       0                    1      0
1123  19        0           1  0.76  0.40      0.104    14127     8   1                       1                    0      0
820    4        0           0  0.72  0.79      0.194    13824     8   1                       1                    0      0
13    13        0           0  0.92  0.33      0.254    13017     7   1                       1                    0      0
858   18        0           0  0.70  0.74      0.134    13862     8   1                       0                    1      0
161   17        0           0  0.96  0.26      0.134    13165     7   1                       1                    0      0
805   13        0           1  0.86  0.47      0.284    13809     8   1                       0                    0      1
1099  19        0           1  0.70  0.61      0.134    14103     8   1                       1                    0      0
659   11        0           0  0.84  0.39      0.224    13663     7   1                       1                    0      0
76     4        1           0  0.68  0.69      0.254    13080     7   1                       1                    0      0
550   22        0           1  0.74  0.62      0.194    13554     7   1                       1                    0      0
949   13        0           1  0.86  0.41      0.104    13953     8   1                       1                    0      0
440    8        0           1  0.76  0.58      0.254    13444     7   1                       1                    0      0
1075  19        0           1  0.76  0.66      0.194    14079     8   1                       1                    0      0
1146  18        0           1  0.82  0.38      0.254    14150     8   1                       0                    0      1
512    8        0           0  0.64  0.78      0.000    13516     7   1                       0                    0      1
807   15        0           1  0.88  0.42      0.254    13811     8   1                       1                    0      0
1292  20        0           1  0.70  0.61      0.104    14296     8   1                       1                    0      0
873    9        0           1  0.70  0.79      0.164    13877     8   1                       0                    1      0
793    1        0           1  0.70  0.74      0.194    13797     8   1                       1                    0      0
1144  16        0           1  0.84  0.32      0.448    14148     8   1                       0                    0      1
715   19        0           1  0.82  0.52      0.164    13719     7   1                       1                    0      0
809   17        0           1  0.84  0.53      0.284    13813     8   1                       0                    0      1
1357  13        0           0  0.66  0.78      0.418    14361     8   1                       0                    1      0
356   20        0           0  0.72  0.79      0.254    13360     7   1                       1                    0      0
1313  17        0           1  0.74  0.51      0.224    14317     8   1                       0                    0      1
233   17        0           1  0.78  0.49      0.194    13237     7   1                       1                    0      0
511    7        0           0  0.62  0.83      0.000    13515     7   1                       0                    0      1
603    3        0           1  0.66  0.69      0.224    13607     7   1                       1                    0      0
1303   7        0           1  0.64  0.78      0.000    14307     8   1                       0                    0      1
918    6        0           1  0.70  0.84      0.164    13922     8   1                       0                    0      1
1280   8        0           1  0.66  0.74      0.090    14284     8   1                       0                    0      1
760   16        0           1  0.80  0.55      0.284    13764     8   1                       1                    0      0
1398   6        0           1  0.66  0.89      0.104    14402     8   1                       0                    0      1
348   12        0           0  0.84  0.47      0.104    13352     7   1                       1                    0      0
911   23        0           1  0.72  0.79      0.000    13915     8   1                       1                    0      0
1019  11        0           0  0.74  0.42      0.164    14023     8   1                       1                    0      0
985    1        0           0  0.66  0.74      0.224    13989     8   1                       1                    0      0
48     0        0           1  0.72  0.54      0.000    13052     7   1                       1                    0      0
1474  10        0           1  0.76  0.62      0.090    14478     8   1                       1                    0      0
249    9        0           1  0.70  0.74      0.134    13253     7   1                       0                    0      1
155   11        0           0  0.94  0.38      0.194    13159     7   1                       1                    0      0
203   11        0           1  0.72  0.62      0.134    13207     7   1                       0                    0      1
898   10        0           1  0.74  0.70      0.134    13902     8   1                       0                    0      1
863   23        0           0  0.72  0.79      0.164    13867     8   1                       0                    0      1
624    0        0           1  0.72  0.70      0.000    13628     7   1                       1                    0      0
410    2        0           1  0.74  0.66      0.134    13414     7   1                       1                    0      0
600    0        0           1  0.66  0.65      0.194    13604     7   1                       1                    0      0
613   13        0           1  0.86  0.53      0.298    13617     7   1                       1                    0      0
764   20        0           1  0.74  0.66      0.164    13768     8   1                       1                    0      0
1014   6        0           0  0.64  0.65      0.164    14018     8   1                       1                    0      0
810   18        0           1  0.82  0.59      0.254    13814     8   1                       0                    0      1
746    2        0           1  0.64  0.83      0.104    13750     8   1                       1                    0      0
633    9        0           1  0.82  0.49      0.284    13637     7   1                       1                    0      0
1215  15        0           1  0.72  0.54      0.254    14219     8   1                       1                    0      0
1259  11        0           1  0.72  0.58      0.090    14263     8   1                       1                    0      0
787   19        0           1  0.80  0.63      0.164    13791     8   1                       1                    0      0
394   10        0           1  0.84  0.49      0.194    13398     7   1                       0                    0      1
167   23        0           0  0.84  0.56      0.164    13171     7   1                       1                    0      0
1201   1        0           1  0.60  0.83      0.164    14205     8   1                       1                    0      0
448   16        0           1  0.84  0.47      0.090    13452     7   1                       1                    0      0
1354  10        0           0  0.74  0.66      0.388    14358     8   1                       1                    0      0
831   15        0           0  0.88  0.42      0.418    13835     8   1                       1                    0      0
226   10        0           1  0.76  0.62      0.194    13230     7   1                       1                    0      0
668   20        0           0  0.66  0.83      0.224    13672     7   1                       1                    0      0
1377   9        0           1  0.66  0.83      0.104    14381     8   1                       1                    0      0
352   16        0           0  0.86  0.41      0.224    13356     7   1                       1                    0      0
256   16        0           1  0.80  0.38      0.194    13260     7   1                       1                    0      0
466   10        0           1  0.70  0.79      0.164    13470     7   1                       0                    0      1
1121  17        0           1  0.82  0.34      0.194    14125     8   1                       1                    0      0
472   16        0           1  0.68  0.83      0.328    13476     7   1                       0                    0      1
156   12        0           0  0.96  0.31      0.358    13160     7   1                       1                    0      0
654    6        0           0  0.70  0.70      0.104    13658     7   1                       1                    0      0
171    3        0           0  0.80  0.59      0.104    13175     7   1                       1                    0      0
930   18        0           1  0.78  0.55      0.164    13934     8   1                       0                    0      1
182   14        0           0  0.96  0.36      0.164    13186     7   1                       1                    0      0
210   18        0           1  0.76  0.48      0.134    13214     7   1                       1                    0      0
721    1        0           1  0.66  0.83      0.134    13725     7   1                       1                    0      0
1045  13        0           1  0.78  0.40      0.164    14049     8   1                       1                    0      0
891    3        0           1  0.70  0.84      0.000    13895     8   1                       1                    0      0
1179   3        0           0  0.62  0.61      0.164    14183     8   1                       0                    0      1
429   21        0           1  0.76  0.62      0.000    13433     7   1                       1                    0      0
1368   0        0           1  0.62  0.83      0.000    14372     8   1                       1                    0      0
308   20        0           1  0.74  0.48      0.134    13312     7   1                       1                    0      0
879   15        0           1  0.82  0.46      0.134    13883     8   1                       1                    0      0
883   19        0           1  0.78  0.59      0.194    13887     8   1                       1                    0      0
351   15        0           0  0.86  0.47      0.134    13355     7   1                       1                    0      0
318    6        0           0  0.64  0.78      0.090    13322     7   1                       0                    0      1
947   11        0           1  0.84  0.44      0.000    13951     8   1                       1                    0      0
1213  13        0           1  0.70  0.58      0.134    14217     8   1                       1                    0      0
585    9        0           1  0.72  0.37      0.298    13589     7   1                       1                    0      0
319    7        0           0  0.64  0.78      0.284    13323     7   1                       1                    0      0
196    4        0           1  0.66  0.89      0.388    13200     7   1                       0                    1      0
218    2        0           1  0.70  0.74      0.134    13222     7   1                       1                    0      0
116   20        0           1  0.86  0.41      0.224    13120     7   1                       0                    0      1
1171  19        0           0  0.70  0.45      0.164    14175     8   1                       1                    0      0
1142  14        0           1  0.86  0.34      0.418    14146     8   1                       1                    0      0
928   16        0           1  0.80  0.49      0.284    13932     8   1                       0                    0      1
875   11        0           1  0.76  0.66      0.134    13879     8   1                       1                    0      0
1145  17        0           1  0.82  0.36      0.328    14149     8   1                       1                    0      0
960    0        0           1  0.70  0.65      0.090    13964     8   1                       1                    0      0
1481  17        0           1  0.88  0.32      0.164    14485     8   1                       1                    0      0
1049  17        0           1  0.80  0.36      0.164    14053     8   1                       1                    0      0
1402  10        0           1  0.74  0.62      0.254    14406     8   1                       1                    0      0
450   18        0           1  0.86  0.41      0.194    13454     7   1                       1                    0      0
657    9        0           0  0.78  0.59      0.104    13661     7   1                       1                    0      0
1174  22        0           0  0.66  0.61      0.000    14178     8   1                       1                    0      0
1411  19        0           1  0.74  0.45      0.164    14415     8   1                       1                    0      0
828   12        0           0  0.86  0.40      0.358    13832     8   1                       1                    0      0
486    6        0           0  0.58  0.88      0.254    13490     7   1                       0                    1      0
1311  15        0           1  0.76  0.48      0.134    14315     8   1                       0                    0      1
748    4        0           1  0.64  0.78      0.134    13752     8   1                       0                    0      1
69    21        0           1  0.70  0.70      0.284    13073     7   1                       0                    0      1
1324   4        0           0  0.66  0.69      0.104    14328     8   1                       0                    0      1
188   20        0           0  0.76  0.70      0.090    13192     7   1                       1                    0      0
150    6        0           0  0.74  0.74      0.104    13154     7   1                       1                    0      0
1096  16        0           1  0.76  0.48      0.194    14100     8   1                       1                    0      0
938    2        0           1  0.70  0.84      0.090    13942     8   1                       1                    0      0
866    2        0           1  0.72  0.79      0.134    13870     8   1                       0                    0      1
502   22        0           0  0.60  0.88      0.104    13506     7   1                       0                    0      1
558    6        0           1  0.66  0.83      0.134    13562     7   1                       1                    0      0
802   10        0           1  0.80  0.52      0.194    13806     8   1                       0                    0      1
708   12        0           1  0.76  0.58      0.104    13712     7   1                       0                    0      1
929   17        0           1  0.80  0.55      0.284    13933     8   1                       0                    0      1
644   20        0           1  0.78  0.59      0.104    13648     7   1                       1                    0      0
627    3        0           1  0.70  0.74      0.164    13631     7   1                       1                    0      0
129    9        0           1  0.82  0.36      0.134    13133     7   1                       1                    0      0
1400   8        0           1  0.66  0.85      0.104    14404     8   1                       0                    0      1
84    12        1           0  0.86  0.41      0.224    13088     7   1                       1                    0      0
275   11        0           1  0.76  0.45      0.104    13279     7   1                       1                    0      0
65    17        0           1  0.86  0.30      0.164    13069     7   1                       0                    0      1
584    8        0           1  0.70  0.42      0.254    13588     7   1                       1                    0      0
1090  10        0           1  0.72  0.62      0.194    14094     8   1                       0                    0      1
735   15        0           1  0.76  0.62      0.134    13739     7   1                       1                    0      0
1166  14        0           0  0.76  0.37      0.284    14170     8   1                       1                    0      0
309   21        0           1  0.72  0.54      0.000    13313     7   1                       1                    0      0
141   21        0           1  0.82  0.52      0.134    13145     7   1                       1                    0      0
841    1        0           0  0.74  0.70      0.254    13845     8   1                       1                    0      0
260   20        0           1  0.74  0.51      0.164    13264     7   1                       1                    0      0
142   22        0           1  0.80  0.55      0.194    13146     7   1                       1                    0      0
1059   3        0           1  0.68  0.83      0.194    14063     8   1                       0                    0      1
1114  10        0           1  0.74  0.48      0.134    14118     8   1                       1                    0      0
1248   0        0           1  0.62  0.83      0.104    14252     8   1                       1                    0      0
119   23        0           1  0.80  0.55      0.164    13123     7   1                       1                    0      0
756   12        0           1  0.80  0.49      0.104    13760     8   1                       1                    0      0
1362  18        0           0  0.64  0.89      0.090    14366     8   1                       0                    0      1
50     2        0           1  0.72  0.58      0.000    13054     7   1                       1                    0      0
427   19        0           1  0.76  0.62      0.104    13431     7   1                       0                    0      1
1057   1        0           1  0.68  0.79      0.254    14061     8   1                       1                    0      0
602    2        0           1  0.66  0.69      0.254    13606     7   1                       1                    0      0
741   21        0           1  0.68  0.79      0.194    13745     7   1                       1                    0      0
449   17        0           1  0.86  0.41      0.000    13453     7   1                       1                    0      0
468   12        0           1  0.68  0.83      0.164    13472     7   1                       0                    1      0
1101  21        0           1  0.70  0.61      0.194    14105     8   1                       1                    0      0
1028  20        0           0  0.72  0.45      0.000    14032     8   1                       1                    0      0
263   23        0           1  0.70  0.58      0.254    13267     7   1                       0                    0      1
1385  17        0           1  0.80  0.46      0.224    14389     8   1                       1                    0      0
97     1        0           1  0.74  0.51      0.284    13101     7   1                       1                    0      0
499   19        0           0  0.60  0.88      0.164    13503     7   1                       0                    0      1
1453  13        0           1  0.76  0.48      0.104    14457     8   1                       1                    0      0
1356  12        0           0  0.72  0.74      0.358    14360     8   1                       0                    1      0
392    8        0           1  0.80  0.55      0.000    13396     7   1                       0                    0      1
966    6        0           1  0.64  0.89      0.298    13970     8   1                       0                    1      0
1254   6        0           1  0.62  0.73      0.000    14258     8   1                       1                    0      0
43    19        0           1  0.78  0.43      0.134    13047     7   1                       1                    0      0
1108   4        0           1  0.62  0.73      0.224    14112     8   1                       1                    0      0
1018  10        0           0  0.70  0.51      0.164    14022     8   1                       1                    0      0
86    14        1           0  0.90  0.37      0.164    13090     7   1                       1                    0      0
332   20        0           0  0.72  0.84      0.090    13336     7   1                       1                    0      0
553    1        0           1  0.68  0.79      0.164    13557     7   1                       1                    0      0
154   10        0           0  0.92  0.37      0.224    13158     7   1                       1                    0      0
1436  20        0           1  0.68  0.57      0.000    14440     8   1                       1                    0      0
1270  22        0           1  0.64  0.73      0.000    14274     8   1                       1                    0      0
772    4        0           1  0.66  0.83      0.000    13776     8   1                       1                    0      0
1071  15        0           1  0.82  0.46      0.224    14075     8   1                       1                    0      0
1457  17        0           1  0.82  0.34      0.224    14461     8   1                       1                    0      0
1443   3        0           1  0.62  0.73      0.000    14447     8   1                       1                    0      0
666   18        0           0  0.82  0.43      0.284    13670     7   1                       1                    0      0
1265  17        0           1  0.74  0.55      0.224    14269     8   1                       0                    1      0
1062   6        0           1  0.64  0.83      0.194    14066     8   1                       0                    1      0
266    2        0           1  0.66  0.65      0.090    13270     7   1                       0                    0      1
138   18        0           1  0.90  0.33      0.254    13142     7   1                       1                    0      0
1391  23        0           1  0.70  0.84      0.164    14395     8   1                       1                    0      0
905   17        0           1  0.78  0.62      0.134    13909     8   1                       0                    0      1
707   11        0           1  0.78  0.55      0.134    13711     7   1                       0                    0      1
45    21        0           1  0.76  0.45      0.134    13049     7   1                       1                    0      0
962    2        0           1  0.70  0.74      0.164    13966     8   1                       1                    0      0
847    7        0           0  0.74  0.74      0.298    13851     8   1                       1                    0      0
1422   6        0           1  0.60  0.73      0.194    14426     8   1                       1                    0      0
258   18        0           1  0.78  0.38      0.254    13262     7   1                       1                    0      0
776    8        0           1  0.72  0.74      0.104    13780     8   1                       1                    0      0
523   19        0           0  0.72  0.70      0.164    13527     7   1                       1                    0      0
152    8        0           0  0.82  0.63      0.194    13156     7   1                       1                    0      0
910   22        0           1  0.72  0.74      0.104    13914     8   1                       1                    0      0
110   14        0           1  0.92  0.33      0.328    13114     7   1                       1                    0      0
1347   3        0           0  0.64  0.89      0.254    14351     8   1                       0                    0      1
1234  10        0           1  0.66  0.61      0.104    14238     8   1                       1                    0      0
1040   8        0           1  0.72  0.51      0.090    14044     8   1                       0                    0      1
1027  19        0           0  0.74  0.40      0.134    14031     8   1                       1                    0      0
406   22        0           1  0.80  0.55      0.224    13410     7   1                       1                    0      0
582    6        0           1  0.64  0.65      0.194    13586     7   1                       1                    0      0
1226   2        0           1  0.58  0.88      0.284    14230     8   1                       0                    0      1
163   19        0           0  0.92  0.33      0.134    13167     7   1                       1                    0      0
270    6        0           1  0.64  0.73      0.090    13274     7   1                       1                    0      0
1483  19        0           1  0.80  0.49      0.134    14487     8   1                       1                    0      0
835   19        0           0  0.82  0.52      0.358    13839     8   1                       1                    0      0
1279   7        0           1  0.62  0.83      0.090    14283     8   1                       0                    0      1
33     9        0           1  0.78  0.46      0.254    13037     7   1                       1                    0      0
1000  16        0           0  0.80  0.46      0.298    14004     8   1                       1                    0      0
878   14        0           1  0.82  0.46      0.000    13882     8   1                       1                    0      0
684   12        0           0  0.76  0.55      0.328    13688     7   1                       1                    0      0
1331  11        0           0  0.72  0.62      0.284    14335     8   1                       0                    0      1
1076  20        0           1  0.74  0.74      0.224    14080     8   1                       1                    0      0
580    4        0           1  0.64  0.65      0.224    13584     7   1                       1                    0      0
1050  18        0           1  0.76  0.52      0.284    14054     8   1                       1                    0      0
517   13        0           0  0.70  0.65      0.090    13521     7   1                       0                    0      1
939    3        0           1  0.68  0.83      0.090    13943     8   1                       1                    0      0
839   23        0           0  0.76  0.66      0.298    13843     8   1                       1                    0      0
15    15        0           0  0.90  0.37      0.284    13019     7   1                       1                    0      0
1172  20        0           0  0.70  0.45      0.104    14176     8   1                       1                    0      0
597   21        0           1  0.72  0.45      0.134    13601     7   1                       1                    0      0
1334  14        0           0  0.66  0.65      0.254    14338     8   1                       0                    1      0
1338  18        0           0  0.66  0.69      0.463    14342     8   1                       0                    0      1
1064   8        0           1  0.66  0.89      0.090    14068     8   1                       0                    0      1
965    5        0           1  0.70  0.84      0.284    13969     8   1                       0                    1      0
381   21        0           1  0.76  0.66      0.134    13385     7   1                       1                    0      0
346   10        0           0  0.76  0.66      0.134    13350     7   1                       1                    0      0
736   16        0           1  0.76  0.58      0.224    13740     7   1                       1                    0      0
784   16        0           1  0.82  0.46      0.194    13788     8   1                       1                    0      0
78     6        1           0  0.66  0.69      0.000    13082     7   1                       1                    0      0
1293  21        0           1  0.70  0.61      0.134    14297     8   1                       1                    0      0
5      5        0           0  0.68  0.79      0.104    13009     7   1                       1                    0      0
903   15        0           1  0.80  0.52      0.000    13907     8   1                       1                    0      0
1180   4        0           0  0.62  0.65      0.164    14184     8   1                       0                    0      1
864    0        0           1  0.72  0.79      0.000    13868     8   1                       0                    0      1
1005  21        0           0  0.66  0.89      0.164    14009     8   1                       0                    0      1
408    0        0           1  0.76  0.66      0.164    13412     7   1                       1                    0      0
792    0        0           1  0.72  0.70      0.194    13796     8   1                       1                    0      0
85    13        1           0  0.90  0.35      0.000    13089     7   1                       1                    0      0
1285  13        0           1  0.82  0.38      0.090    14289     8   1                       1                    0      0
1078  22        0           1  0.72  0.66      0.090    14082     8   1                       1                    0      0
587   11        0           1  0.76  0.33      0.000    13591     7   1                       1                    0      0
1250   2        0           1  0.62  0.78      0.000    14254     8   1                       1                    0      0
1364  20        0           0  0.64  0.89      0.164    14368     8   1                       1                    0      0
489    9        0           0  0.58  0.83      0.194    13493     7   1                       0                    0      1
615   15        0           1  0.92  0.42      0.298    13619     7   1                       1                    0      0
1371   3        0           1  0.62  0.88      0.090    14375     8   1                       1                    0      0
1069  13        0           1  0.80  0.46      0.090    14073     8   1                       1                    0      0
674    2        0           0  0.66  0.74      0.134    13678     7   1                       1                    0      0
1341  21        0           0  0.62  0.83      0.358    14345     8   1                       1                    0      0
375   15        0           1  0.86  0.47      0.254    13379     7   1                       1                    0      0
1017   9        0           0  0.70  0.48      0.224    14021     8   1                       1                    0      0
1031  23        0           0  0.68  0.61      0.000    14035     8   1                       1                    0      0
1291  19        0           1  0.72  0.51      0.090    14295     8   1                       1                    0      0
956   20        0           1  0.70  0.54      0.284    13960     8   1                       1                    0      0
134   14        0           1  0.90  0.31      0.164    13138     7   1                       1                    0      0
738   18        0           1  0.76  0.55      0.284    13742     7   1                       1                    0      0
1223  23        0           1  0.60  0.83      0.000    14227     8   1                       0                    0      1
860   20        0           0  0.70  0.84      0.104    13864     8   1                       1                    0      0
72     0        1           0  0.68  0.79      0.090    13076     7   1                       1                    0      0
306   18        0           1  0.78  0.46      0.194    13310     7   1                       1                    0      0
1008   0        0           0  0.64  0.73      0.134    14012     8   1                       0                    0      1
184   16        0           0  0.80  0.66      0.224    13188     7   1                       0                    0      1
303   15        0           1  0.80  0.36      0.104    13307     7   1                       0                    0      1
785   17        0           1  0.82  0.52      0.254    13789     8   1                       1                    0      0
729    9        0           1  0.72  0.70      0.104    13733     7   1                       1                    0      0
209   17        0           1  0.78  0.40      0.164    13213     7   1                       1                    0      0
680    8        0           0  0.70  0.65      0.224    13684     7   1                       1                    0      0
1199  23        0           0  0.62  0.73      0.000    14203     8   1                       0                    0      1
1010   2        0           0  0.64  0.69      0.134    14014     8   1                       1                    0      0
722    2        0           1  0.66  0.83      0.134    13726     7   1                       1                    0      0
1055  23        0           1  0.70  0.70      0.224    14059     8   1                       1                    0      0
1228   4        0           1  0.56  0.88      0.000    14232     8   1                       1                    0      0
932   20        0           1  0.74  0.66      0.194    13936     8   1                       1                    0      0
1479  15        0           1  0.90  0.27      0.298    14483     8   1                       1                    0      0
145    1        0           0  0.76  0.70      0.164    13149     7   1                       1                    0      0
136   16        0           1  0.92  0.29      0.104    13140     7   1                       1                    0      0
444   12        0           1  0.84  0.49      0.284    13448     7   1                       1                    0      0
178   10        0           0  0.90  0.45      0.000    13182     7   1                       1                    0      0
130   10        0           1  0.86  0.30      0.000    13134     7   1                       1                    0      0
630    6        0           1  0.70  0.79      0.000    13634     7   1                       1                    0      0
944    8        0           1  0.72  0.74      0.104    13948     8   1                       1                    0      0
761   17        0           1  0.80  0.49      0.164    13765     8   1                       1                    0      0
1002  18        0           0  0.70  0.74      0.298    14006     8   1                       0                    0      1
803   11        0           1  0.84  0.49      0.284    13807     8   1                       0                    0      1
564   12        0           1  0.82  0.56      0.224    13568     7   1                       0                    0      1
1466   2        0           1  0.66  0.89      0.134    14470     8   1                       1                    0      0
328   16        0           0  0.72  0.79      0.358    13332     7   1                       0                    0      1
1321   1        0           0  0.68  0.69      0.000    14325     8   1                       0                    0      1
66    18        0           1  0.86  0.30      0.000    13070     7   1                       0                    0      1
1340  20        0           0  0.62  0.83      0.254    14344     8   1                       0                    1      0
240    0        0           1  0.66  0.83      0.134    13244     7   1                       0                    0      1
246    6        0           1  0.64  0.89      0.134    13250     7   1                       1                    0      0
81     9        1           0  0.76  0.52      0.000    13085     7   1                       1                    0      0
120    0        0           1  0.78  0.62      0.134    13124     7   1                       1                    0      0
701    5        0           1  0.66  0.83      0.104    13705     7   1                       1                    0      0
274   10        0           1  0.74  0.48      0.164    13278     7   1                       1                    0      0
611   11        0           1  0.80  0.66      0.224    13615     7   1                       1                    0      0
1427  11        0           1  0.72  0.45      0.000    14431     8   1                       1                    0      0
55     7        0           1  0.74  0.58      0.000    13059     7   1                       1                    0      0
