,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Category
40,Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 19 May,22h 5m,1 stop,In-flight meal not included,12373.0,Extreme duration
42,Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,09:00,21:00,12h,1 stop,No info,13062.0,Long-haul
44,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,Short-haul
45,Air India,3/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667.0,Short-haul
46,Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,19:00,11:05 16 May,16h 5m,1 stop,No info,6117.0,Long-haul
47,Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 Jun,19h 55m,2 stops,In-flight meal not included,11150.0,Extreme duration
48,Jet Airways,9/03/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202.0,Short-haul
49,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 02 May,25h 20m,1 stop,No info,12121.0,Extreme duration
50,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 28 Mar,2h 50m,non-stop,No info,4377.0,Short-haul
51,IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,21:15,00:15 19 Jun,3h,non-stop,No info,3943.0,Short-haul
52,Air Asia,3/04/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 04 Apr,2h 50m,non-stop,No info,4483.0,Short-haul
53,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00 25 Mar,16h 15m,1 stop,No info,14231.0,Long-haul
54,Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15h 5m,2 stops,No info,17345.0,Long-haul
55,Vistara,6/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,7414.0,Short-haul
56,Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 07 May,6h 30m,1 stop,No info,8073.0,Medium
57,Vistara,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45 07 Mar,25h 5m,1 stop,No info,12395.0,Extreme duration
59,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 04 Apr,27h 20m,1 stop,No info,5117.0,Extreme duration
60,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10h 15m,1 stop,No info,10197.0,Long-haul
61,IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 16 May,10h 30m,1 stop,No info,7191.0,Long-haul
62,Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687.0,Short-haul
63,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,5894.0,Long-haul
64,Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5403.0,Short-haul
65,Air India,6/05/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,3625.0,Short-haul
66,Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,10861.0,Long-haul
68,Jet Airways,1/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,5678.0,Short-haul
69,Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15 13 Mar,26h 30m,1 stop,In-flight meal not included,9134.0,Extreme duration
71,Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819.0,Long-haul
73,Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,non-stop,No info,7240.0,Short-haul
75,IndiGo,3/04/2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,non-stop,No info,4049.0,Short-haul
76,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1 stop,In-flight meal not included,11507.0,Extreme duration
77,SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3332.0,Short-haul
78,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1 stop,,10844.0,Long-haul
79,Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,non-stop,No info,7229.0,Short-haul
80,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1 stop,No info,13941.0,Extreme duration
81,IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1 stop,No info,5894.0,Medium
82,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10197.0,Long-haul
83,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1 stop,In-flight meal not included,13712.0,Extreme duration
85,Jet Airways,6/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014.0,Extreme duration
88,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1 stop,No info,9646.0,Medium
89,Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1 stop,No info,10197.0,Long-haul
90,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1 stop,No info,13817.0,Extreme duration
91,Air India,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2 stops,No info,13748.0,Long-haul
92,Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4880.0,Short-haul
93,IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,Short-haul
94,SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3257.0,Short-haul
95,Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,6478.0,Short-haul
96,Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,No info,8040.0,Short-haul
99,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1 stop,No info,11507.0,Long-haul
100,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262.0,Medium
102,Air India,1/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121.0,Short-haul
103,Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2 stops,In-flight meal not included,13029.0,Medium
104,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1 stop,No info,11421.0,Medium
105,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,7574.0,Long-haul
106,Air India,9/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2 stops,No info,11596.0,Extreme duration
107,Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2 stops,No info,15129.0,Extreme duration
108,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1 stop,No info,13555.0,Long-haul
110,Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1 stop,No info,9397.0,Long-haul
111,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1 stop,No info,17024.0,Long-haul
113,Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1 stop,No info,10348.0,Long-haul
114,Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1 stop,No info,12677.0,Long-haul
115,Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1 stop,No info,15147.0,Long-haul
116,Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668.0,Short-haul
117,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1 stop,No info,15554.0,Long-haul
120,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1 stop,In-flight meal not included,9663.0,Long-haul
121,Air India,1/03/2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15 02 Mar,20h 15m,1 stop,No info,9443.0,Extreme duration
122,IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,non-stop,No info,3540.0,Short-haul
123,Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2 stops,No info,10676.0,Extreme duration
125,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,No info,14388.0,Long-haul
126,IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,3943.0,Short-haul
129,Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1 stop,In-flight meal not included,10262.0,Long-haul
130,Vistara,12/05/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216.0,Short-haul
132,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1 stop,No info,14067.0,Long-haul
133,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2 stops,No info,15129.0,Extreme duration
134,Jet Airways,6/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2 stops,No info,13376.0,Extreme duration
137,Jet Airways,3/03/2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1 stop,No info,17024.0,Long-haul
138,Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1 stop,,13017.0,Medium
139,GoAir,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1 stop,No info,6686.0,Medium
140,IndiGo,15/06/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5636.0,Medium
142,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1 stop,No info,9486.0,Long-haul
143,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1 stop,In-flight meal not included,10844.0,Extreme duration
144,Jet Airways,3/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2 stops,In-flight meal not included,15318.0,Medium
145,Air India,3/04/2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1 stop,No info,5117.0,Extreme duration
147,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005.0,Medium
148,SpiceJet,3/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,non-stop,No info,3873.0,Short-haul
150,GoAir,27/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3898.0,Short-haul
151,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781.0,Long-haul
152,Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,12h 15m,1 stop,In-flight meal not included,8586.0,Long-haul
153,Air India,9/05/2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 10 May,23h 35m,2 stops,No info,10697.0,Extreme duration
154,Jet Airways,27/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2 stops,No info,11507.0,Long-haul
155,IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,non-stop,No info,8855.0,Short-haul
156,Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 13 May,25h 45m,1 stop,In-flight meal not included,10844.0,Extreme duration
157,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Mar,26h 10m,1 stop,No info,17024.0,Extreme duration
158,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28h 50m,1 stop,,9314.0,Extreme duration
159,IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,non-stop,No info,4777.0,Short-haul
160,Air India,9/06/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 10 Jun,25h 15m,1 stop,No info,7662.0,Extreme duration
161,IndiGo,9/05/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442.0,Medium
162,SpiceJet,12/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No info,5264.0,Short-haul
163,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 May,15h 25m,1 stop,In-flight meal not included,12898.0,Long-haul
164,Air India,3/03/2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,non-stop,No info,6092.0,Short-haul
165,SpiceJet,21/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3311.0,Short-haul
166,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 28 Mar,9h 10m,1 stop,In-flight meal not included,6540.0,Medium
167,IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,3419.0,Short-haul
168,Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 04 Apr,22h 35m,1 stop,In-flight meal not included,5177.0,Extreme duration
169,Air India,18/04/2019,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,8246.0,Short-haul
171,Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,13587.0,Medium
172,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 07 May,12h 10m,1 stop,In-flight meal not included,9663.0,Long-haul
174,IndiGo,3/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,5h 5m,1 stop,No info,5073.0,Medium
176,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 07 May,20h,1 stop,In-flight meal not included,9663.0,Extreme duration
177,Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,14277.0,Long-haul
179,Jet Airways,27/03/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,11507.0,Short-haul
180,Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1 stop,No info,13727.0,Medium
181,Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1 stop,In-flight meal not included,9663.0,Long-haul
184,IndiGo,27/06/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 28 Jun,5h 45m,1 stop,No info,5775.0,Medium
185,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,24h 10m,1 stop,In-flight meal not included,10539.0,Extreme duration
186,IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804.0,Short-haul
187,Air Asia,12/06/2019,Banglore,Delhi,BLR → DEL,11:10,13:55,2h 45m,non-stop,No info,3383.0,Short-haul
188,IndiGo,03/03/2019,Banglore,New Delhi,BLR → HYD → DEL,12:10,17:05,4h 55m,1 stop,No info,8738.0,Short-haul
189,Air India,27/03/2019,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 28 Mar,25h 35m,1 stop,No info,7165.0,Extreme duration
190,IndiGo,24/06/2019,Delhi,Cochin,DEL → HYD → COK,16:10,22:30,6h 20m,1 stop,No info,6412.0,Medium
191,Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,8016.0,Short-haul
192,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,15:15 13 Mar,18h 40m,1 stop,In-flight meal not included,11087.0,Extreme duration
193,SpiceJet,27/06/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,,3543.0,Short-haul
194,Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 13 Jun,12h 10m,1 stop,No info,12471.0,Long-haul
197,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No info,10197.0,Medium
199,Air India,3/06/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,9443.0,Short-haul
200,IndiGo,24/04/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,5013.0,Short-haul
201,Air India,18/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6934.0,Short-haul
202,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:00,12h 20m,1 stop,No info,10877.0,Long-haul
203,Jet Airways,18/04/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229.0,Short-haul
206,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844.0,Medium
207,Jet Airways,18/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 20 May,29h 20m,2 stops,No info,15129.0,Extreme duration
208,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,00:30,03:25,2h 55m,non-stop,No info,3943.0,Short-haul
209,SpiceJet,6/06/2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5583.0,Medium
210,Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,07:05,16:10,9h 5m,1 stop,No info,9646.0,Medium
211,Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:15,10h 45m,1 stop,No info,7677.0,Long-haul
214,Vistara,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,18:50,11h 40m,1 stop,No info,9555.0,Long-haul
215,IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,non-stop,No info,4077.0,Short-haul
216,Jet Airways,12/05/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,7229.0,Short-haul
217,Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,12192.0,Long-haul
218,Air India,12/04/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,,5911.0,Short-haul
221,Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,14323.0,Medium
222,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2 stops,No info,13014.0,Extreme duration
223,Air India,6/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,14:25,19:15 07 Jun,28h 50m,2 stops,No info,13591.0,Extreme duration
225,IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 28 Apr,2h 50m,non-stop,No info,3943.0,Short-haul
227,Jet Airways,27/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995.0,Short-haul
228,Air India,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:50,18:30 25 Mar,25h 40m,1 stop,No info,14641.0,Extreme duration
229,Air India,12/04/2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,non-stop,No info,4460.0,Short-haul
230,Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,10191.0,Medium
231,Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:45,17h 30m,1 stop,In-flight meal not included,13843.0,Extreme duration
232,IndiGo,1/05/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 02 May,5h 45m,1 stop,No info,5054.0,Medium
233,Air Asia,1/05/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4409.0,Short-haul
234,Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,18:15,19:45 07 Mar,25h 30m,1 stop,No info,17024.0,Extreme duration
