index,id,acousticness
2358,1aTpzY2ggWHhP,0.995
2388,5uaqfXP4wBosO,0.994
2399,1qbrS9PKOzsac,0.994
2407,6eRV2uv4DWyZn,0.958
2427,0eiT0cfG4TT3u,0.983
2441,67HF6y5o1UhIF,0.989
2466,2JJWto8imzsHM,0.984
2475,0yRtn9coNCSWI,0.971
2498,3pzBD8BVdrv7V,0.978
2579,0zwkLwuSIuqQ9,0.968
2638,0HFWS5C6ThNeu,0.956
2653,41jXeGNqW4ogi,0.962
2686,03pWkKJjo8ATe,0.958
2706,0S0YKiEdR9cT9,0.991
2733,3Ckm40tSW3MSq,0.982
2748,4pTvgNra8siMo,0.977
2762,66JpLq0hpmtHW,0.985
2781,2O4i80yTXVXmz,0.986
2792,0Zj3Ihs4nn3G3,0.952
2813,246ntJR3A2s7B,0.98
2817,0KNbGtYQmQo8X,0.967
2839,04M6R4Fbah2Av,0.98
2842,4jSuthawb7fit,0.991
2883,4TrCvd1PrqI14,0.955
2903,1Dk2yfU21Trin,0.972
2956,5Ebm8OIFGeyoK,0.994
3003,3wDjJstO6soS2,0.984
3031,4xHpqKKjWAULc,0.987
3133,2Y95aUjHiOtgL,0.995
3197,38J3F2EqXt9Dn,0.988
3220,3GecLjGMqzjmg,0.993
3245,2g2Ggi6gqJiVD,0.99
3267,4FnK3GEuekjYX,0.991
3283,4Weo3vMehKR84,0.965
3291,24h9onmUBreB1,0.962
3335,2bOqEAbpUbCNe,0.964
3340,24cgBBhZD1cWe,0.989
3381,5bp6twky1rHu7,0.961
3437,39xA1yNSzJRSu,0.956
3460,3obQ7Qx6YZt8r,0.952
3480,1Zv6RyHM08gyC,0.994
3494,1ZEVSOFaWo6hW,0.98
3530,0dHF8t7OIhgPe,0.966
3564,370TxU3tPIvVL,0.995
3568,4aVbFYIU67P8F,0.962
3605,1hk4wGfZMRqmf,0.986
3702,63SvuIM9L3ONA,0.995
3704,1SPBJ5ol7xYyz,0.964
3750,5wf3wwLBJj4j4,0.956
3769,2d7LPtieXdIYz,0.974
3783,4dKkvmCP8VYyP,0.955
3785,38wDkBNOGJJ0Y,0.961
3797,4K6OlCO3WbxsM,0.97
3833,0cTmHyEAcGnkI,0.954
3870,2ahwerIzRcGeS,0.995
3897,61FnfOx61kMlz,0.995
3923,0jl2i7G9bt93B,0.967
3948,0ESvfrHfNuAtk,0.963
3988,0jZO7p0nBUi9V,0.962
4014,3lG6OtGDsYAOA,0.966
4020,1SoR3NCP3P9dt,0.957
4034,40f4bFrEnG7TB,0.994
4053,2QuojUtKiQ7l8,0.993
4055,0ek2PwrDkUWRq,0.984
4059,4FE9jhuatcOZZ,0.994
4065,6A72j6HPfF8Y5,0.994
4090,7iS8aC9Qmet8T,0.973
4098,0jlQn5ENU6pt3,0.99
4117,1LLLm2nPAEw0F,0.971
4135,0CoSBNNeO8Jga,0.996
4201,2gIeStpi0Scla,0.952
4207,6Ge2Ob69SEZ2l,0.964
4320,6suDwyuHm9aTk,0.988
4436,61tnA1xJXS6SU,0.981
4437,1qJVN4D1fZs3A,0.976
4465,2K01jEOja47eL,0.974
4471,0rpSIjKSmZ2SF,0.966
4483,6lZhqWTCznlvI,0.995
4490,0d2jEkvq1aUlQ,0.99
4513,2UZXQrEi0A8yS,0.983
4643,6pV1dGidc6Dvz,0.986
4719,5iday4nwx1UiU,0.992
4733,5LLc5PMYsumWa,0.967
4741,4BlM6AO7TOtqx,0.996
4771,70n33U8GKmuyz,0.981
4795,5c5dCM4Ud73aO,0.961
4821,2zExp0TMKzbEk,0.995
4832,7MWYv1m0d023B,0.976
4887,2HvN74GLTZfua,0.99
5050,3U7fJ0VfFR1Ms,0.961
5194,3FKi5WRPoafaA,0.994
5196,6P6jyX25Twcnt,0.961
5245,7EcjtjNYDhQ82,0.968
5308,0Jp7n6FKqGVxt,0.985
5319,5kiZpF6a7kxZL,0.972
5326,0YPagAr3GhXlR,0.988
5445,346d2tSxhrRUp,0.993
5478,5oGpVVrO0QhZU,0.995
5488,59eTbibtvvBIG,0.983
5581,3wGQULikds23n,0.992
5606,3jlAkZoMZovVV,0.954
5696,3cBtANnJGopPa,0.975
5773,5wsHtmFHWntJz,0.975
5778,79chzfFIIq7cH,0.974
5792,0lX13P1uH2Hn6,0.987
5800,68JOSWjtRYqsC,0.975
5803,1e8YXZzw4cnWV,0.958
5804,2ez01ZsOmyG4m,0.954
5808,7HBvKyhAJ4QX2,0.957
5819,1mmw6dQxV5Yw7,0.951
5826,0OVwmxLIkUQjA,0.973
5836,4VZM71F8XAoLR,0.971
5837,0ErhZpQwk4JaX,0.958
5847,2GJFu2G9fhaYF,0.987
5861,6JJhLJGpkSea8,0.963
5862,2SIHJo8TXKvFv,0.994
5894,2ozeCscFSmHW7,0.994
5903,4eyOZVDzYlVsl,0.995
5955,5iR8v6fTc33LD,0.954
5970,23gcQr3NRKzLX,0.967
6007,4RTVyXYNmaKyq,0.996
6058,3l2aKoxhYUlv9,0.969
6087,5VceRZmSDeW6y,0.989
6130,2hkPUEsERVGoI,0.995
6148,0fB77VOZ2FkQe,0.967
6150,5tc7QNc9sOFQo,0.976
6208,36c2NifUp0GDn,0.974
6338,10yXfuLcIilEb,0.97
6459,7JD4aIrbFXH3e,0.971
6471,0YbVnJgqzHAHF,0.99
6479,26W3vc21aHLaH,0.97
6484,5bqw1jBy6gacB,0.994
6503,4tw2MGyKR4FW8,0.971
6519,2A3Mkcpf7t5lz,0.954
6534,09eEn3vbwXzrf,0.983
6579,1nljoM9tvlik9,0.962
6581,5o4SqGekEfvdk,0.983
6620,5S43VGbqIGWBo,0.995
6728,5eMbvXKpk3CS1,0.959
6732,5cwPIak6Pg5HR,0.957
6737,4AQwwsz0ztRx4,0.974
6866,1SJ7kgrYnrZ1r,0.98
6874,08IA5pdUxV881,0.957
6880,5SSpHX29Gnzsv,0.973
6907,1GIPP103zfsyt,0.991
6908,4CbwEZXVgxViC,0.988
6913,7rtxlP1iijQrZ,0.971
7030,6XNxVEWV0NiBa,0.972
7051,3yACY5F6Q8jTq,0.982
7083,6G1V1TM0TeHfQ,0.984
7179,0AvQspmvZCDfb,0.961
7203,5Wux4Vq9nWrme,0.954
7228,0VI8QAH1YupPK,0.995
7243,0ZGsQUf2WaAGv,0.971
7259,2BicrIvfuJhLN,0.956
7320,5iNbFdlGQ7d1y,0.988
7323,7vIJwiFD2FKiu,0.982
7347,2FP7JttwbYPXc,0.989
7355,1v0uVPU6BWcbo,0.971
7384,2TDYhUsCuLEK0,0.987
7398,6e65fH1wClamA,0.965
7407,1yRvOL3HruyNK,0.964
7432,5edzZx7AiRFOU,0.99
7442,0HRshWRNAwQBR,0.952
7455,7rtHi9wgpYS4h,0.994
7520,4J4yJ9VpPIIsR,0.993
7534,6y4zQgeTuyOV3,0.954
7545,0mjT194sWauS2,0.992
7560,36XWhADD7DpCY,0.994
7576,0xX7kREWmOGBW,0.958
7579,7MXlRIl901aXf,0.96
7697,1jWoeUIvNJnia,0.995
7760,3ESsjKqrj3M79,0.98
7779,5HVjLxAftX35Y,0.977
7822,4K3RZJ8sWPbv0,0.973
7864,1SZh3eUOXgzLq,0.991
7920,2eP2kKhFaTBWj,0.954
7927,5hJ5736o2jQRX,0.991
7937,5BMwpS4iYKR30,0.954
7939,0Zyt3eB2Ddher,0.986
7957,5bP9JMP7HKh1G,0.974
7977,2U42jVkNgEU6D,0.967
7985,5QcpXwGONi7bK,0.994
8002,73nAdnaRt0Qmm,0.994
8006,3HNKZy1An5Jln,0.993
8027,0NOzMlTrPHMQ6,0.993
8164,2GBvksBLD4dLq,0.982
8192,7x8ILiGyZAFW3,0.996
8200,7wMtecN31Pghx,0.993
8201,1rAv3gMViglWe,0.996
8210,5CC8QT7TuttcX,0.977
8220,07dIxNWwFGWwP,0.956
8287,1SmiQ65iSAbPt,0.971
8289,3I3WY0C7AQMe6,0.993
8294,3tCBeat5YZBwL,0.954
8304,2m2GJpBjQNNph,0.99
8311,6L73Pb4dv5p9O,0.994
8332,1GfdC8GouQqL0,0.993
8340,7tDHMhO0bJpbk,0.992
8358,3AogJjKJYSIEi,0.98
8373,7zoNjIq4DZadc,0.994
8386,7DEcoyUFy04Zh,0.979
8409,4sZI1I2z5UODe,0.99
8415,0ciAqRdIpOfhR,0.982
8438,78sZ6qdT6HFK2,0.992
8441,0dRvjBVCStIlB,0.952
8477,5TBekkTQcKzto,0.966
8499,6KHx0lfm8n3J0,0.991
8516,4FUeIDdjVRxnY,0.982
8554,6Q4nNB7exf30T,0.963
8584,6Wei2NUSG66Wz,0.977
8623,6ce2irPKNzScU,0.964
8654,4xsJ6KEsIjsHK,0.965
8714,1eWsXHpKj3BhE,0.97
8720,0gt7ei2Fube4V,0.955
8769,6caCfb9Hg5NlU,0.962
8795,4Cn3jeDKxrpxJ,0.955
8824,2Kij021y6biW8,0.98
8826,7ufjlAqHC2ED4,0.98
8906,1bFx9DWBFy1U7,0.977
8921,7lE2IEY8KXtqQ,0.989
8926,75sSAymXP6tGO,0.976
8949,121jHMUmLlQ24,0.961
9041,2r8tPRK0TolVa,0.995
9058,7bMnF1m5ZcwPK,0.989
9067,1bXoENBZuBkZn,0.96
9073,20Wrb8zv1LCJY,0.955
9164,2s4wu9Z76eEcz,0.951
9233,42b8m7QbauXo7,0.985
9268,1KDkSCXJIR4CJ,0.962
9315,5YfZknxIgQayJ,0.996
9332,3oww3hQ0kv9b2,0.982
9468,0ovWl3roso9gt,0.993
9518,7Ly4vpc0e0Jaq,0.976
9535,1bL3lI3ykZjw9,0.98
9574,6qUjY7JsuQYxn,0.992
9588,0wmmFkwOtzaan,0.996
9616,4QbKevGgXsbtO,0.969
9655,6x7oPOBrfsqx9,0.964
9744,76PS07wzG7zYM,0.958
9749,3Wwba621okL6w,0.991
9789,0aSgzAUObtmSS,0.972
9792,4tpeXx5XfqGdj,0.953
9851,71I9xjigtEcEY,0.986
9936,1YiknHCa9pXZV,0.991
9961,0pV7ZNlSXRtle,0.994
10001,5frrMKfRVby9m,0.986
10005,5smg7I3dlFezD,0.983
10010,4RuYDrJ4a2ybc,0.991
10025,3MRQn2RYo2VLY,0.994
10066,3md9ih5DcuqhY,0.996
10091,4aMrd3aAnuVgG,0.984
10098,7fxHpjrR6YwyF,0.97
10102,4yWCiMOk150jb,0.976
10119,1JoAjYaI3zvhX,0.991
10136,7hQYakDtSt1uj,0.996
10137,1COWV6U3LKqCB,0.994
10148,30QNjcM3Q1GnL,0.969
10182,1w8KJUP2hZ57C,0.991
10194,3J7iUsiftcjZx,0.996
10222,7IeAd6rhMU9zM,0.973
10333,3a14Ywse8vF62,0.992
10339,3eMTcFDfBkdUx,0.995
10348,5tyMJlMqaggzv,0.965
10358,6sSFbKl9oQ7To,0.996
10365,3CkHOquzU3g6e,0.99
10386,72mDETn3Ba8yV,0.994
10387,4BOCx4hnSq0xW,0.965
10394,1KDGb7d3PHIOI,0.989
10395,7uvey8m0ZfknE,0.991
10420,6RuFOroO9VO0a,0.974
10435,4ynA4JLwQIRfI,0.983
10448,7vR65Iy5mH6cD,0.996
10455,7qrFwjD4GmpDl,0.991
10495,147gCksvDRmjG,0.996
10520,2IcRKEB63dQD9,0.951
10522,6UlYfU3dCqFXK,0.99
10540,4vePE79zJShD1,0.99
10544,7rTnBNV9MXeDf,0.96
10548,6rjemuZ8zBQIz,0.985
10558,3FUL2VqnKPvpu,0.979
10584,6xZGds6ClLaEP,0.981
10640,7i0nvZRGgVqym,0.96
10695,7qWIRNY83R89Z,0.958
10699,6FRQ4HYndOhM4,0.991
10744,23jaacZ4V3mdo,0.953
10763,4Fproek7uXgqM,0.952
10776,1fLPmjAfhHjHc,0.97
10789,5yh0phgrkE0qQ,0.966
10800,3NGzaY9pJjoMv,0.965
10816,4Piypso6HAayT,0.989
10819,1NYElq76ajtGZ,0.99
10826,6BOgMI1pVONpi,0.983
10973,3VdLjuOdBfFHQ,0.957
10975,1NNrdT3dU1hHm,0.986
10993,4AmXnLqtS15Mq,0.951
10994,3Lsdp3mbD27Mj,0.996
10996,0TTNwVdKcuH9A,0.991
11000,4a8dR8XKOBOMx,0.992
11076,77jdFbKeyVqhN,0.99
11084,3qrMlhV4Re0GO,0.991
11099,3rB2bdrGTsyRu,0.986
11121,2JIVtls9Jf9nA,0.976
11122,2ucFCqazVVhPK,0.968
11125,1I1ShJC4B0kwS,0.961
11145,4Qf4sunHJJz45,0.956
11152,11Er3qlX9yXQj,0.963
11183,0itMKInovica9,0.96
11187,4YPnMiG3qbVhQ,0.992
11192,4qehtoeLFnk44,0.97
11285,4KEiSfnnR70F0,0.971
11399,7ddIIzmPVOs4s,0.989
11484,3ghTZXvEH9V7Z,0.988
11485,4IVb3KoePQ2Lc,0.955
11486,2FnHMItLWhhPI,0.982
11491,605JTCltCe1Ic,0.975
11492,4xxIMjx6sNmRg,0.992
11509,06am46cX3Z6Yl,0.977
11637,4qto2kJITIHyE,0.99
11841,1l7bKxkdTymsF,0.953
11899,4Vbwap6K56bB5,0.979
11952,570PQwK8DJ0Lg,0.968
11982,0XgRWgcs0Pcr9,0.97
12002,1vL5bZNsFWVYE,0.955
12045,05yzhEWkmVXii,0.991
12097,6sFLeTTehG9M2,0.987
12183,230wJHD5YU7cS,0.987
12190,0dDdc2ugBXcZk,0.966
12204,3mBy5mXHvUJ7s,0.994
12294,4SZbG1h04TXi6,0.996
12307,5hAsWMGQXBjDj,0.994
12319,2pypBNUUzViaP,0.992
12353,0baNzeUcPQnQS,0.964
12367,45HRj3YdVgAOL,0.969
12398,2VvTMIXG760Ui,0.953
12401,1tQKUYjY3h950,0.992
12406,2BNIB51vC5Xf4,0.971
12414,45nNKzH7nKMfy,0.992
12429,6RMjZgsE9IcQZ,0.986
12452,1khJhtT78fpUb,0.96
12458,7gZDMiW9u6N3U,0.967
12459,4CVtPhfKMyA8S,0.996
12480,37bWNUTzhM1Dv,0.968
12484,1nIVZg8EmaIZD,0.988
12486,63yQS5uf762DJ,0.963
12487,6JMuZsTQprhBr,0.987
12504,47hPOcAbwkZJL,0.995
12517,3pJnfyKoVePwV,0.993
12543,6CtgSHDxivSLq,0.977
12581,0t8BbIcYYG0aI,0.984
12636,7w7B0C7kT6CWL,0.958
12703,30gRmzQoIlLxW,0.978
12707,09shqcvMsLb6q,0.994
12775,6anScmEgi2LUo,0.965
12793,5SZ47jchNPq4i,0.995
12795,3TWlCopR57fPQ,0.973
12837,4FZqRi5EvjdMo,0.973
12868,5r04nCsGXiTBs,0.992
12878,099QlSujdXkd9,0.966
12880,6BEkaQDf8HOBD,0.972
12893,58VVEDJ8NK12U,0.992
12896,6szVwCHjicg6t,0.97
12936,4ySqdQH0bhSzu,0.953
12946,7MjEk3ha3TdVV,0.994
12979,0PH2KcNZfDYIP,0.964
13026,393qU26zNVIQN,0.985
13041,4AE032Y0x1WPO,0.991
13053,7LYeytL8R2fuq,0.982
13099,3OzNi0pIuKw2T,0.992
13121,0MPgkoIlmnaSH,0.954
13175,5mdDzJBkQ7Gz7,0.96
13206,26mv7c5urNef5,0.98
13250,7ogqidU5KkUWx,0.989
13326,3jzzpIMxy4Aqd,0.964
13343,0gd3hRBQAEAw0,0.968
13397,5QUMpl8wzwAe3,0.99
13415,0I6tw6cWhpgko,0.961
13419,1rXs2fgby8yhq,0.958
13492,0p6eXDSAFhKm9,0.995
13502,2bweRNFhi8M6f,0.979
13631,25XuCuq4K715N,0.98
13672,159ld20LzWoNc,0.993
13678,4YZwWfva9YsKx,0.99
13711,75A0vJQiBzAxk,0.965
13778,6kLpYUjZQ1BNC,0.995
13892,7sKChFvViJZ6F,0.952
13908,5lUbIsKvBfML0,0.97
13914,3wnSHCMTtD1fx,0.98
13917,6r44uyKRo3jKF,0.958
13951,1BRtrNXFD8Rrl,0.966
14066,6c7uYlmHJtZPn,0.994
14090,6htie60haocR5,0.994
14096,0VRGvi1Qvvaam,0.977
14144,3qjtWuQbKnLt1,0.976
14156,2e9FxyGISHtOx,0.958
14227,7vbCfkJf89i4s,0.987
14258,4KgTrzmfiWNcV,0.959
14260,4MVk79dmYqi7H,0.96
14302,6LnG3cueIxb0S,0.989
14322,51lPx6ZCSalL2,0.983
14325,01T3AjynqSMVf,0.993
14330,3ruGcz1vh9wdc,0.992
14346,77O9eTcQpYwCn,0.994
14362,4rcbkYwipgC6L,0.994
14376,7KWhxUrK9ofPT,0.995
14409,6p1DiRU5INxaJ,0.995
14457,2Ud0BKOtLvXRF,0.994
14463,6L1sKb2kv74gP,0.976
14469,2qHGPanT2ux9h,0.987
14480,2QDFsehUg5Fui,0.957
14483,211l6gKeErP58,0.992
14499,7fjl8fmaUdRWN,0.995
14507,3Rs7eZ7c0N5Nw,0.978
14512,2NhZaJOYL4MHh,0.959
14526,775dmuIRQojrp,0.993
14535,1RMuWWLRYeJvv,0.968
14549,6nx6oC4HgnZOx,0.956
14553,1WYZio6NAhl2y,0.958
14556,6F0mBVGUg6Bsj,0.995
14557,7iw3S9vmaQYrd,0.995
14589,0E97LEEOz5rk6,0.996
14592,7JVjcxfs9CG6O,0.991
14600,3H68NURFkJOaG,0.956
14608,0kKOC50fPTnqm,0.993
14613,21UkknmSYISvD,0.995
14651,5EOANVSfg3dX4,0.994
14669,6embXV2TNlwiP,0.959
14671,63u4EIXqAjfSC,0.98
14673,6UZAtyex2izYC,0.993
14675,1YvfddO5B4IAb,0.962
14689,7MjYIqk3plWn2,0.958
14706,6v0zFoBkuLjTh,0.98
14709,16GdiwewBf99M,0.964
14813,7ocJPvoS4xnFc,0.977
14867,4kwclHRtcMJLz,0.971
14885,5GhYwnHzkHpE8,0.958
14938,5U7vahMkL41gu,0.979
14969,4fU1mpvaRbTqR,0.992
15022,3UOFrelbGLUWJ,0.97
15123,1MAeLzBF3xsg6,0.955
15128,2aUUsj6puY14y,0.963
15129,3rwboSQlP6nOE,0.962
15137,62c1RhroaeTVV,0.993
15174,2ecYJyAHF43oB,0.956
15181,4yKZZfDo52opA,0.993
15216,503fwzlbWHx5g,0.993
15248,6eXKmKkd9O7Em,0.987
15251,70QyxqmlcrW5F,0.993
15256,6CngZA32wwYDb,0.974
15288,0mGBqjK2f3tew,0.995
15303,3wnR4FIaT8Ok3,0.993
15314,2WuYYACpbXgn4,0.962
15323,4UviED7A48N4Q,0.993
15327,00epdG9ONPL8K,0.99
15334,1BnqvUgxXhBzV,0.964
15349,4Tx16LfAMJMNO,0.974
15412,05utSpK1EFNOn,0.99
15501,7l8d1kKkQLPWW,0.974
15510,478Xg3kZfyDap,0.971
15514,7KRaeLuGqHJNh,0.988
15541,3x27YTgedJZlH,0.991
15573,6pax9oyg0VAEL,0.995
15584,6hHKFReuQR9VQ,0.988
15645,23Ypb2SLgeY2O,0.951
15693,3s2f6XU5sJ6aq,0.982
15779,4bEUNyytrIT5d,0.969
15817,1bdhhKZAxmdqA,0.97
15821,09n5OYAlgClYF,0.994
15841,5H9nnDuwE0UCE,0.982
15879,3Kuz6KSGfiNIV,0.965
15943,1RxaEvQCmT36n,0.975
15957,1oBDaufG8Arkz,0.952
15960,5HZCMnScUweku,0.955
15967,1gtflD7JVxpoz,0.988
15968,63zmiYZRPVSRL,0.98
15985,4mlqHOqOXja92,0.989
16036,0ODALQinASClo,0.99
16050,0G6qJsqHP0Bbe,0.978
16061,2PuvIyN4e2w2i,0.954
16079,5ay0cvjtVAbML,0.982
16084,4tLNKzcRv95bW,0.951
16124,2TTpZrsNdlOBo,0.952
16131,3oCd8HkxnzvAW,0.97
16175,4X5zaUdlRhvBW,0.953
16293,5oK98mpTJSU0i,0.972
16331,5xxqxlolNTVsP,0.973
16346,64ltkWiXTteDM,0.988
16367,2aJWkpCXMvIIZ,0.959
16408,5FoZCDCl6WhrA,0.995
16426,0vS05UkNkb0dZ,0.958
16472,3UTIDzn7QvyeU,0.979
16511,0eQZinXiAeZ75,0.99
16530,7CoMBpPTwQi2w,0.959
16531,2zhPy8zbBf53X,0.975
16569,531T2IlqucxLs,0.97
16580,5ptMWCoMxUP5p,0.991
16595,0Ycl08JD5MBn2,0.986
16597,0rdOvRimwzjyB,0.996
16622,199TOFLcLwoW2,0.982
16623,4UlarjdicLUPb,0.99
16637,0Cks68XMF8C89,0.962
16640,2c15DLDKQDhMV,0.981
16646,3WeYjOyamokKd,0.964
16702,4FJJKMXwKerjg,0.984
16713,7EmWxGbLI9kq4,0.991
16719,251nfOQOQYMGi,0.988
16744,6nVWopkV9TK2Y,0.96
16764,0oNyxmkS58UGV,0.962
16781,01phCD6Upm5SN,0.979
16816,3wlNmUeoHnM1j,0.972
16868,6DoOBnoCZNOzP,0.98
16910,3tEW3BubSpSzJ,0.957
16932,4jS6mCmznV5fj,0.987
16960,4oWTPL6ihHK1J,0.968
16970,4aB29POCPX88H,0.971
16975,2L9ISa8cLoUZM,0.974
17023,0uC0Deej3lmVq,0.969
17060,59xohjlL8uhdi,0.992
17076,10PcJgNwEdMwf,0.973
17154,5wC5aUCu9gp7k,0.967
17167,1oigWpHyzcC5g,0.961
17183,1zxKIzxF2NUws,0.983
17189,3DruXfuowq2uy,0.955
17205,3bzc0xRyNkeXv,0.989
17228,1ez8ZmONwGLDs,0.979
17238,5rWi8IzQtoTVN,0.988
17281,5nSXjtRmTY22U,0.986
17304,6r0HePjY5K8WW,0.99
17319,5INLKzjb8a6Sr,0.952
17395,2jNbG2ZVvEi0q,0.983
17441,1XgQtMoo2drLv,0.954
17477,1OmnvhVmoct7x,0.995
17605,7yP9PPNZQrq1T,0.959
17626,2FRnxuLDZ4vSd,0.99
17639,7gXWx5DBR5Mfs,0.993
17664,0y3yFju7xqGgY,0.957
17703,3SrEmZTtPBo5M,0.991
17724,3rw3uYUoKicjB,0.963
17752,017dbEUVSuGK7,0.979
17755,6TCEJVBIrm9Yy,0.984
17767,2Tax7fSPDly9O,0.958
17772,02BumRY2OTFMk,0.994
17773,1PzD8CQfJbJNR,0.979
17807,6VRvhiVLih80I,0.952
17848,3FJ46AfhOr2Ty,0.981
17949,5fCxl609046LL,0.972
17974,6eJobiVXF5HQN,0.953
17993,5LopRVLII1pAV,0.995
18008,0lIDOHnoe4RJg,0.967
18022,5FOHBhUtWl2x5,0.96
18024,7sDzAu7alAL1h,0.981
18129,0KIhA8otx6yYs,0.994
18142,1VNzpN2QspjP5,0.956
18202,1p8Po4X9rWvMO,0.988
18209,586k3MTMSuIDd,0.963
18229,3SPCtqHndiHRN,0.969
18247,1pNQKV0LjUwxp,0.994
18250,3C32S8W8BBBKf,0.951
18269,1uRxyAup7OYrl,0.968
18270,4bjXeKnM7jGi4,0.994
18280,6iGPBcdGv5gVG,0.967
18317,5huIzPcRJkbL7,0.976
18352,6J9tgHIE8qdy5,0.958
18354,2zVBNZ94NII3J,0.991
18362,74RK3VANEjmOC,0.996
18390,6gp6sejiJXYU1,0.995
18391,03XFziNAcPbc4,0.996
18402,3v64IAj0C9myT,0.951
18413,5ih49fmvqPDV9,0.993
18418,0oYpL4iDhZirA,0.992
18432,3OSr4tLBco2Me,0.974
18460,6v7bs0au0qVtt,0.954
18488,72cj11O7lJBQi,0.963
18508,2DTi3hxKgiIJE,0.993
18531,42c1ppLBsSbUj,0.996
18557,1aeKotbZ2wBYu,0.988
18569,5QfENz96Rk140,0.994
18574,3VBPPIu4MGBnM,0.995
18580,2HFa8YQM9xXsa,0.962
18587,6tsmYOwZtMfL3,0.965
18588,5MIyzgrAUZ5Tr,0.995
18599,3sAJq6EDW2iNS,0.992
18608,0KvgYjNjdjpgj,0.993
18610,1KnTw354jtQmD,0.995
18626,1pFCkU2BQHr0m,0.993
18639,7FpuImiEfUmOW,0.996
18643,1I217X8W4dL6n,0.973
18653,3SwiMJxBE5eqY,0.985
18676,1ZxqvIpfcqYDc,0.994
18694,3nZ31x1cLcCRn,0.995
18710,2jJ1dkSJqbtv9,0.99
18717,7vELAwkC04g6Y,0.965
18720,1v8nEP8CRicvu,0.992
18725,1qfYCqVpMcuYL,0.996
18750,4E0b1oXvrPoxH,0.993
18754,4Y6WTrmqcv8Jk,0.993
18759,1TnSRPeMJJEHK,0.985
18788,3Sg42hY1aqhaQ,0.978
18790,628aUzy2L6xHN,0.978
18848,6JySdTlGJTxJd,0.989
18851,1Wy5fW4R9zU0w,0.995
18903,2PdmAIaiKrQei,0.983
18906,7pHz7Rl2sxsj5,0.984
18964,3XfdUtpJ8VW1i,0.988
19013,7tm6kZFYu4hIa,0.982
19015,3ZC6ibxbELAeP,0.994
19016,3nj18sxe1CA0e,0.953
19027,6nLryX6NcQ8ES,0.977
19031,5tpDYRQzjY1Ki,0.974
19050,6DlDX4ghYBeiK,0.976
19053,389qtBoJVF0ri,0.968
19071,55BSszZjjv0Sj,0.995
19156,1SKqoOM0KO1AB,0.967
19163,6BGNjTZ8zp9Ml,0.975
19182,45Ec9tNPuonAp,0.959
19193,6DMI9EN9rQAGS,0.965
19205,2FPtJP6CQ68hO,0.987
19285,5LzSj1aCPrWC8,0.962
